PAO1_gene_id	annotation
PA0426	core
PA0427	core
PA0428	core
PA0429	core
PA0430	core
PA0431	core
PA0432	core
PA0433	core
PA0434	core
PA0435	core
PA0436	core
PA0437	core
PA0438	core
PA0439	core
PA0440	core
PA0441	core
PA0442	core
PA0443	core
PA0444	core
PA0445	accessory
PA0446	core
PA0447	core
PA0448	core
PA0449	core
PA0450	core
PA0451	core
PA0452	core
PA0453	accessory
PA0454	core
PA0455	core
PA0456	core
PA0457	core
PA0458	core
PA0459	core
PA0460	core
PA0461	core
PA0462	core
PA0463	core
PA0464	core
PA0465	core
PA0466	core
PA0467	core
PA0468	core
PA0469	core
PA0470	core
PA0471	core
PA0472	core
PA0473	core
PA0474	core
PA0475	core
PA0476	core
PA0477	core
PA0478	core
PA0479	core
PA0480	core
PA0481	core
PA0482	core
PA0483	core
PA0484	core
PA0485	core
PA0486	core
PA0487	core
PA0488	core
PA0489	core
PA0490	core
PA0491	core
PA0492	core
PA0493	core
PA0494	core
PA0495	core
PA0496	core
PA0497	accessory
PA0498	accessory
PA0499	accessory
PA0500	core
PA0501	core
PA0502	core
PA0503	core
PA0504	core
PA0505	core
PA0506	core
PA0507	core
PA0508	core
PA0509	core
PA0510	core
PA0511	core
PA0512	core
PA0513	core
PA0514	core
PA0515	core
PA0516	core
PA0517	core
PA0518	core
PA0519	core
PA0520	core
PA0521	core
PA0522	core
PA0523	core
PA0524	core
PA0525	core
PA0526	core
PA0527	core
PA0528	core
PA0529	core
PA0530	core
PA0531	core
PA0532	core
PA0533	core
PA0534	core
PA0535	core
PA0536	core
PA0537	core
PA0538	core
PA0539	core
PA0540	core
PA0541	core
PA0542	core
PA0543	core
PA0544	core
PA0545	core
PA0546	core
PA0547	core
PA0548	core
PA0549	core
PA0550	core
PA0551	core
PA0552	core
PA0553	core
PA0554	core
PA0555	core
PA0556	core
PA0557	core
PA0558	core
PA0559	core
PA0560	core
PA0561	core
PA0562	core
PA0563	core
PA0564	core
PA0565	core
PA0566	core
PA0567	core
PA0568	core
PA0569	core
PA0570	core
PA0571	core
PA0572	core
PA0573	core
PA0574	core
PA0575	core
PA0576	core
PA0577	core
PA0578	core
PA0579	core
PA0580	core
PA0581	core
PA0582	core
PA0583	core
PA0584	core
PA0585	core
PA0586	core
PA0587	core
PA0588	core
PA0589	core
PA0590	core
PA0591	core
PA0592	core
PA0593	core
PA0594	core
PA0595	core
PA0596	core
PA0597	core
PA0598	core
PA0599	core
PA0600	core
PA0601	core
PA0602	core
PA0603	core
PA0604	core
PA0605	core
PA0606	core
PA0607	core
PA0608	core
PA0609	core
PA0610	core
PA0611	core
PA0612	core
PA0613	core
PA0614	core
PA0615	core
PA0616	core
PA0617	core
PA0618	core
PA0619	core
PA0620	core
PA0621	core
PA0622	core
PA0623	core
PA0624	core
PA0625	core
PA0626	core
PA0627	core
PA0628	core
PA0629	core
PA0630	core
PA0631	core
PA0632	core
PA0633	core
PA0634	core
PA0635	core
PA0636	core
PA0637	core
PA0638	core
PA0639	core
PA0640	core
PA0641	core
PA0642	accessory
PA0643	accessory
PA0644	accessory
PA0645	accessory
PA0646	core
PA0647	core
PA0648	core
PA0649	core
PA0650	core
PA0651	core
PA0652	core
PA0653	core
PA0654	core
PA0655	core
PA0656	core
PA0657	core
PA0658	core
PA0659	core
PA0660	core
PA0661	core
PA0662	core
PA0663	core
PA0664	core
PA0665	core
PA0666	core
PA0667	core
PA0668	core
PA0669	core
PA0670	core
PA0671	core
PA0672	core
PA0673	core
PA0674	core
PA0675	core
PA0676	core
PA0677	core
PA0678	core
PA0679	core
PA0680	core
PA0681	core
PA0682	core
PA0683	core
PA0684	core
PA0685	core
PA0686	core
PA0687	core
PA0688	core
PA0689	accessory
PA0690	core
PA0691	core
PA0692	core
PA0693	core
PA0694	core
PA0695	core
PA0696	core
PA0697	core
PA0698	core
PA0699	core
PA0700	core
PA0701	core
PA0702	core
PA0703	core
PA0704	core
PA0705	core
PA0706	core
PA0707	core
PA0708	core
PA0709	core
PA0710	core
PA0711	core
PA0712	accessory
PA0713	core
PA0714	core
PA0715	accessory
PA0716	accessory
PA0717	core
PA0718	core
PA0719	core
PA0720	core
PA0721	core
PA0722	core
PA0723	core
PA0724	core
PA0725	core
PA0726	core
PA0727	core
PA0728	core
PA0729	accessory
PA0730	core
PA0731	core
PA0732	core
PA0733	core
PA0734	core
PA0735	core
PA0736	core
PA0737	core
PA0738	core
PA0739	core
PA0740	core
PA0741	core
PA0742	core
PA0743	core
PA0744	core
PA0745	core
PA0746	core
PA0747	core
PA0748	accessory
PA0749	core
PA0750	core
PA0751	core
PA0752	core
PA0753	core
PA0754	core
PA0755	core
PA0756	core
PA0757	core
PA0758	core
PA0759	core
PA0760	core
PA0761	core
PA0762	core
PA0763	core
PA0764	core
PA0765	core
PA0766	core
PA0767	core
PA0768	core
PA0769	core
PA0770	core
PA0771	core
PA0772	core
PA0773	core
PA0774	core
PA0775	core
PA0776	core
PA0777	core
PA0778	core
PA0779	core
PA0780	core
PA0781	core
PA0782	core
PA0783	core
PA0784	core
PA0785	core
PA0786	core
PA0787	core
PA0788	core
PA0789	core
PA0790	core
PA0791	core
PA0792	core
PA0793	core
PA0794	core
PA0795	core
PA0796	core
PA0797	core
PA0798	core
PA0799	core
PA0800	core
PA0801	core
PA0802	core
PA0803	core
PA0804	core
PA0805	core
PA0806	core
PA0807	core
PA0808	core
PA0809	core
PA0810	core
PA0811	core
PA0812	core
PA0813	core
PA0814	core
PA0815	core
PA0816	core
PA0817	core
PA0818	core
PA0819	accessory
PA0820	core
PA0821	core
PA0822	core
PA0823	accessory
PA0824	core
PA0825	core
PA0826	core
PA0827	core
PA0828	core
PA0829	core
PA0830	core
PA0831	core
PA0832	core
PA0833	core
PA0834	core
PA0835	core
PA0836	core
PA0837	core
PA0838	core
PA0839	core
PA0840	core
PA0841	core
PA0842	core
PA0843	core
PA0844	core
PA0845	core
PA0846	core
PA0847	core
PA0848	core
PA0849	core
PA0850	core
PA0851	core
PA0852	core
PA0853	core
PA0854	core
PA0855	core
PA0856	core
PA0857	core
PA0858	core
PA0859	core
PA0860	core
PA0861	core
PA0862	core
PA0863	core
PA0864	core
PA0865	core
PA0866	core
PA0867	core
PA0868	core
PA0869	core
PA0870	core
PA0871	core
PA0872	core
PA0873	core
PA0874	core
PA0875	core
PA0876	core
PA0877	core
PA0878	core
PA0879	core
PA0880	core
PA0881	core
PA0882	core
PA0883	core
PA0884	core
PA0885	core
PA0886	core
PA0887	core
PA0888	core
PA0889	core
PA0890	core
PA0891	core
PA0892	core
PA0893	core
PA0894	core
PA0895	core
PA0896	core
PA0897	core
PA0898	core
PA0899	core
PA0900	core
PA0901	core
PA0902	core
PA0903	core
PA0904	core
PA0905	core
PA0906	core
PA0907	core
PA0908	core
PA0909	core
PA0910	core
PA0911	core
PA0912	core
PA0913	core
PA0914	core
PA0915	core
PA0916	core
PA0917	core
PA0918	core
PA0919	core
PA0920	core
PA0921	core
PA0922	core
PA0923	core
PA0924	core
PA0925	core
PA0926	core
PA0927	core
PA0928	core
PA0929	core
PA0930	core
PA0931	core
PA0932	core
PA0933	core
PA0934	core
PA0935	core
PA0936	core
PA0937	core
PA0938	core
PA0939	core
PA0940	core
PA0941	core
PA0942	core
PA0943	core
PA0944	core
PA0945	core
PA0946	core
PA0947	core
PA0948	core
PA0949	core
PA0950	core
PA0951	core
PA0952	core
PA0953	core
PA0954	core
PA0955	core
PA0956	core
PA0957	core
PA0958	core
PA0959	core
PA0960	core
PA0961	core
PA0962	core
PA0963	core
PA0964	core
PA0965	core
PA0966	core
PA0967	core
PA0968	core
PA0969	core
PA0970	core
PA0971	core
PA0972	core
PA0973	core
PA0974	core
PA0975	core
PA0976	core
PA0977	accessory
PA0978	core
PA0979	core
PA0980	core
PA0981	core
PA0982	core
PA0983	accessory
PA0984	core
PA0985	core
PA0986	core
PA0987	core
PA0988	core
PA0989	core
PA0990	core
PA0991	core
PA0992	core
PA0993	core
PA0994	core
PA0995	core
PA0996	core
PA0997	core
PA0998	core
PA0999	core
PA1000	core
PA1001	core
PA1002	core
PA1003	core
PA1004	core
PA1005	core
PA1006	core
PA1007	core
PA1008	core
PA1009	core
PA1010	core
PA1011	core
PA1012	core
PA1013	core
PA1014	core
PA1015	core
PA1016	core
PA1017	core
PA1018	core
PA1019	core
PA1020	core
PA1021	core
PA1022	core
PA1023	core
PA1024	core
PA1025	core
PA1026	core
PA1027	core
PA1028	core
PA1029	core
PA1030	core
PA1031	core
PA1032	core
PA1033	core
PA1034	core
PA1035	core
PA1036	core
PA1037	core
PA1038	core
PA1039	core
PA1040	core
PA1041	core
PA1042	core
PA1043	core
PA1044	core
PA1045	core
PA1046	core
PA1047	core
PA1048	core
PA1049	core
PA1050	core
PA1051	core
PA1052	core
PA1053	core
PA1054	core
PA1055	core
PA1056	core
PA1057	core
PA1058	core
PA1059	core
PA1060	core
PA1061	core
PA1062	core
PA1063	core
PA1064	core
PA1065	core
PA1066	core
PA1067	core
PA1068	core
PA1069	core
PA1070	core
PA1071	core
PA1072	core
PA1073	core
PA1074	core
PA1075	core
PA1076	core
PA1077	core
PA1078	core
PA1079	core
PA1080	core
PA1081	core
PA1082	core
PA1083	core
PA1084	core
PA1085	core
PA1086	core
PA1087	core
PA1088	core
PA1089	core
PA1090	core
PA1091	core
PA1092	core
PA1093	core
PA1094	core
PA1095	core
PA1096	core
PA1097	core
PA1098	core
PA1099	core
PA1100	core
PA1101	core
PA1102	core
PA1103	core
PA1104	core
PA1105	core
PA1106	core
PA1107	core
PA1108	core
PA1109	core
PA1110	core
PA1111	core
PA1112	core
PA1113	core
PA1114	core
PA1115	core
PA1116	core
PA1117	core
PA1118	core
PA1119	core
PA1120	core
PA1121	core
PA1122	core
PA1123	core
PA1124	core
PA1125	core
PA1126	core
PA1127	core
PA1128	core
PA1129	core
PA1130	core
PA1131	core
PA1132	core
PA1133	core
PA1134	core
PA1135	core
PA1136	core
PA1137	core
PA1138	core
PA1139	core
PA1140	core
PA1141	core
PA1142	core
PA1143	core
PA1144	core
PA1145	core
PA1146	core
PA1147	core
PA1148	core
PA1149	core
PA1150	accessory
PA1151	accessory
PA1152	accessory
PA1153	core
PA1154	accessory
PA1155	core
PA1156	core
PA1157	core
PA1158	core
PA1159	core
PA1160	core
PA1161	core
PA1162	core
PA1163	core
PA1164	core
PA1165	core
PA1166	core
PA1167	core
PA1168	core
PA1169	core
PA1170	core
PA1171	core
PA1172	core
PA1173	core
PA1174	core
PA1175	core
PA1176	core
PA1177	core
PA1178	core
PA1179	core
PA1180	core
PA1181	core
PA1182	core
PA1183	core
PA1184	core
PA1185	core
PA1186	core
PA1187	core
PA1188	core
PA1189	core
PA1190	core
PA1191	core
PA1192	core
PA1193	core
PA1194	core
PA1195	core
PA1196	core
PA1197	core
PA1198	core
PA1199	core
PA1200	core
PA1201	core
PA1202	core
PA1203	core
PA1204	core
PA1205	core
PA1206	core
PA1207	core
PA1208	core
PA1209	core
PA1210	core
PA1211	core
PA1212	core
PA1213	core
PA1214	core
PA1215	core
PA1216	core
PA1217	core
PA1218	core
PA1219	core
PA1220	core
PA1221	core
PA1222	core
PA1223	accessory
PA1224	accessory
PA1225	core
PA1226	core
PA1227	core
PA1228	core
PA1229	core
PA1230	core
PA1231	core
PA1232	core
PA1233	core
PA1234	core
PA1235	core
PA1236	core
PA1237	core
PA1238	core
PA1239	core
PA1240	core
PA1241	core
PA1242	core
PA1243	core
PA1244	core
PA1245	core
PA1246	core
PA1247	core
PA1248	core
PA1249	core
PA1250	core
PA1251	core
PA1252	core
PA1253	core
PA1254	core
PA1255	core
PA1256	core
PA1257	core
PA1258	core
PA1259	core
PA1260	core
PA1261	core
PA1262	core
PA1263	core
PA1264	core
PA1265	core
PA1266	core
PA1267	core
PA1268	core
PA1269	core
PA1270	core
PA1271	core
PA1272	core
PA1273	core
PA1274	core
PA1275	core
PA1276	core
PA1277	core
PA1278	core
PA1279	core
PA1280	core
PA1281	core
PA1282	core
PA1283	core
PA1284	core
PA1285	core
PA1286	core
PA1287	core
PA1288	core
PA1289	core
PA1290	core
PA1291	core
PA1292	core
PA1293	core
PA1294	core
PA1295	core
PA1296	core
PA1297	core
PA1298	core
PA1299	core
PA1300	core
PA1301	core
PA1302	core
PA1303	core
PA1304	core
PA1305	core
PA1306	core
PA1307	core
PA1308	core
PA1309	core
PA1310	core
PA1311	core
PA1312	core
PA1313	core
PA1314	core
PA1315	core
PA1316	core
PA1317	core
PA1318	core
PA1319	core
PA1320	core
PA1321	core
PA1322	core
PA1323	core
PA1324	core
PA1325	core
PA1326	core
PA1327	core
PA1328	core
PA1329	core
PA1330	core
PA1331	core
PA1332	core
PA1333	core
PA1334	core
PA1335	core
PA1336	core
PA1337	core
PA1338	core
PA1339	core
PA1340	core
PA1341	core
PA1342	core
PA1343	core
PA1344	core
PA1345	core
PA1346	core
PA1347	core
PA1348	core
PA1349	core
PA1350	core
PA1351	core
PA1352	core
PA1353	core
PA1354	core
PA1355	core
PA1356	core
PA1357	core
PA1358	core
PA1359	core
PA1360	core
PA1361	core
PA1362	core
PA1363	core
PA1364	core
PA1365	core
PA1366	accessory
PA1367	core
PA1368	accessory
PA1369	accessory
PA1370	accessory
PA1371	accessory
PA1372	accessory
PA1373	core
PA1374	core
PA1375	core
PA1376	core
PA1377	core
PA1378	core
PA1379	core
PA1380	core
PA1381	accessory
PA1382	accessory
PA1383	accessory
PA1384	accessory
PA1385	accessory
PA1386	accessory
PA1387	accessory
PA1388	accessory
PA1389	accessory
PA1390	accessory
PA1391	accessory
PA1392	accessory
PA1393	accessory
PA1394	core
PA1395	core
PA1396	core
PA1397	core
PA1398	core
PA1399	core
PA1400	core
PA1401	core
PA1402	core
PA1403	core
PA1404	core
PA1405	core
PA1406	core
PA1407	core
PA1408	core
PA1409	core
PA1410	core
PA1411	core
PA1412	core
PA1413	core
PA1414	core
PA1415	core
PA1416	core
PA1417	core
PA1418	core
PA1419	core
PA1420	core
PA1421	core
PA1422	core
PA1423	core
PA1424	core
PA1425	core
PA1426	core
PA1427	accessory
PA1428	core
PA1429	core
PA1430	core
PA1431	core
PA1432	core
PA1433	core
PA1434	core
PA1435	core
PA1436	core
PA1437	core
PA1438	core
PA1439	core
PA1440	core
PA1441	core
PA1442	core
PA1443	core
PA1444	core
PA1445	core
PA1446	core
PA1447	core
PA1448	core
PA1449	core
PA1450	core
PA1451	core
PA1452	core
PA1453	core
PA1454	core
PA1455	core
PA1456	core
PA1457	core
PA1458	core
PA1459	core
PA1460	core
PA1461	core
PA1462	core
PA1463	core
PA1464	core
PA1465	core
PA1466	core
PA1467	core
PA1468	core
PA1469	core
PA1470	core
PA1471	accessory
PA1472	accessory
PA1473	core
PA1474	core
PA1475	core
PA1476	core
PA1477	core
PA1478	core
PA1479	core
PA1480	core
PA1481	core
PA1482	core
PA1483	core
PA1484	core
PA1485	core
PA1486	core
PA1487	core
PA1488	core
PA1489	core
PA1490	core
PA1491	core
PA1492	core
PA1493	core
PA1494	core
PA1495	core
PA1496	core
PA1497	core
PA1498	core
PA1499	core
PA1500	core
PA1501	core
PA1502	core
PA1503	core
PA1504	core
PA1505	core
PA1506	core
PA1507	core
PA1508	core
PA1509	core
PA1510	core
PA1511	core
PA1513	core
PA1514	core
PA1515	core
PA1516	core
PA1517	core
PA1518	core
PA1519	core
PA1520	core
PA1521	core
PA1522	core
PA1523	core
PA1524	core
PA1525	core
PA1526	core
PA1527	core
PA1528	core
PA1529	core
PA1530	core
PA1531	core
PA1532	core
PA1533	core
PA1534	core
PA1535	core
PA1536	core
PA1537	core
PA1538	core
PA1539	core
PA1540	core
PA1541	core
PA1542	core
PA1543	core
PA1544	core
PA1545	core
PA1546	core
PA1547	core
PA1548	core
PA1549	core
PA1550	core
PA1551	core
PA1552	core
PA1553	core
PA1554	core
PA1555	core
PA1556	core
PA1557	core
PA1558	core
PA1559	core
PA1560	accessory
PA1561	core
PA1562	core
PA1563	core
PA1564	core
PA1565	core
PA1566	core
PA1567	core
PA1568	core
PA1569	core
PA1570	core
PA1571	core
PA1572	core
PA1573	core
PA1574	core
PA1575	core
PA1576	core
PA1577	core
PA1578	core
PA1579	core
PA1580	core
PA1581	core
PA1582	core
PA1583	core
PA1584	core
PA1585	core
PA1586	core
PA1587	core
PA1588	core
PA1589	core
PA1590	core
PA1591	core
PA1592	core
PA1593	core
PA1594	core
PA1595	core
PA1596	core
PA1597	core
PA1598	core
PA1599	core
PA1600	core
PA1601	core
PA1602	core
PA1603	core
PA1604	core
PA1605	core
PA1606	core
PA1607	core
PA1608	core
PA1609	core
PA1610	core
PA1611	core
PA1612	core
PA1613	core
PA1614	core
PA1615	core
PA1616	core
PA1617	core
PA1618	core
PA1619	core
PA1620	core
PA1621	core
PA1622	core
PA1623	core
PA1624	core
PA1625	core
PA1626	core
PA1627	core
PA1628	core
PA1629	core
PA1630	core
PA1631	core
PA1632	core
PA1633	core
PA1634	core
PA1635	core
PA1636	core
PA1637	core
PA1638	core
PA1639	core
PA1640	core
PA1641	core
PA1642	core
PA1643	core
PA1644	core
PA1645	core
PA1646	core
PA1647	core
PA1648	core
PA1649	core
PA1650	core
PA1651	core
PA1652	core
PA1653	core
PA1654	core
PA1655	core
PA1656	core
PA1657	core
PA1658	core
PA1659	core
PA1660	core
PA1661	core
PA1662	core
PA1663	core
PA1664	core
PA1665	core
PA1666	core
PA1667	core
PA1668	core
PA1669	core
PA1670	core
PA1671	core
PA1672	core
PA1673	core
PA1674	core
PA1675	core
PA1676	core
PA1677	core
PA1678	core
PA1679	core
PA1680	core
PA1681	core
PA1682	core
PA1683	core
PA1684	core
PA1685	core
PA1686	core
PA1687	core
PA1688	core
PA1689	core
PA1690	core
PA1691	core
PA1692	core
PA1693	core
PA1694	core
PA1695	core
PA1696	core
PA1697	core
PA1698	core
PA1699	core
PA1700	core
PA1701	core
PA1702	core
PA1703	core
PA1704	core
PA1705	core
PA1706	core
PA1707	core
PA1708	core
PA1709	core
PA1710	core
PA1711	core
PA1712	core
PA1713	core
PA1714	core
PA1715	core
PA1716	core
PA1717	core
PA1718	core
PA1719	core
PA1720	core
PA1721	core
PA1722	core
PA1723	core
PA1724	core
PA1725	core
PA1726	core
PA1727	core
PA1728	core
PA1729	core
PA1730	core
PA1731	core
PA1732	core
PA1733	core
PA1734	core
PA1735	core
PA1736	core
PA1737	core
PA1738	core
PA1739	core
PA1740	core
PA1741	core
PA1742	core
PA1743	core
PA1744	core
PA1745	core
PA1746	core
PA1747	core
PA1748	core
PA1749	core
PA1750	core
PA1751	core
PA1752	core
PA1753	core
PA1754	core
PA1755	core
PA1756	core
PA1757	core
PA1758	core
PA1759	core
PA1760	core
PA1761	core
PA1762	core
PA1763	core
PA1764	core
PA1765	core
PA1766	core
PA1767	core
PA1768	core
PA1769	core
PA1770	core
PA1771	core
PA1772	core
PA1773	core
PA1774	core
PA1775	core
PA1776	core
PA1777	core
PA1778	core
PA1779	core
PA1780	core
PA1781	core
PA1782	core
PA1783	core
PA1784	core
PA1785	core
PA1786	core
PA1787	core
PA1788	core
PA1789	core
PA1790	core
PA1791	core
PA1792	core
PA1793	core
PA1794	core
PA1795	core
PA1796	core
PA1797	core
PA1798	core
PA1799	core
PA1800	core
PA1801	core
PA1802	core
PA1803	core
PA1804	core
PA1805	core
PA1806	core
PA1807	core
PA1808	core
PA1809	core
PA1810	core
PA1811	core
PA1812	core
PA1813	core
PA1814	core
PA1815	core
PA1816	core
PA1817	core
PA1818	core
PA1819	core
PA1820	core
PA1821	core
PA1822	core
PA1823	core
PA1824	core
PA1825	core
PA1826	core
PA1827	core
PA1828	core
PA1829	core
PA1830	core
PA1831	core
PA1832	core
PA1833	core
PA1834	accessory
PA1835	core
PA1836	core
PA1837	core
PA1838	core
PA1839	core
PA1840	core
PA1841	core
PA1842	core
PA1843	core
PA1844	core
PA1845	core
PA1846	core
PA1847	core
PA1848	core
PA1849	core
PA1850	core
PA1851	core
PA1852	core
PA1853	core
PA1854	core
PA1855	core
PA1856	core
PA1857	core
PA1858	core
PA1859	core
PA1860	core
PA1861	core
PA1862	core
PA1863	core
PA1864	core
PA1865	core
PA1866	core
PA1867	core
PA1868	core
PA1869	core
PA1870	core
PA1871	core
PA1872	core
PA1873	core
PA1874	core
PA1875	core
PA1876	core
PA1877	core
PA1878	core
PA1879	core
PA1880	core
PA1881	core
PA1882	core
PA1883	core
PA1884	core
PA1885	core
PA1886	core
PA1887	core
PA1888	core
PA1889	core
PA1890	core
PA1891	core
PA1892	core
PA1893	core
PA1894	core
PA1895	core
PA1896	core
PA1897	core
PA1898	core
PA1901	core
PA1902	core
PA1903	core
PA1904	core
PA1905	core
PA1906	core
PA1907	core
PA1908	core
PA1909	core
PA1910	core
PA1911	core
PA1912	core
PA1913	core
PA1914	core
PA1915	core
PA1916	core
PA1917	core
PA1918	core
PA1919	core
PA1920	core
PA1921	core
PA1922	core
PA1923	core
PA1924	core
PA1925	core
PA1926	core
PA1927	core
PA1928	core
PA1929	core
PA1930	core
PA1931	core
PA1932	core
PA1933	core
PA1934	core
PA1935	accessory
PA1936	accessory
PA1939	core
PA1940	core
PA1941	core
PA1942	core
PA1943	core
PA1944	core
PA1945	core
PA1946	core
PA1947	core
PA1948	core
PA1949	core
PA1950	core
PA1951	core
PA1952	core
PA1953	core
PA1954	core
PA1955	core
PA1956	core
PA1957	core
PA1958	core
PA1959	core
PA1960	core
PA1961	core
PA1962	core
PA1963	core
PA1964	core
PA1965	core
PA1966	core
PA1967	core
PA1968	core
PA1969	core
PA1970	core
PA1971	core
PA1972	core
PA1973	core
PA1974	core
PA1975	core
PA1976	core
PA1977	core
PA1978	core
PA1979	core
PA1980	core
PA1981	core
PA1982	core
