SRA.Study.ID,Sample.ID,Medium,Perturbed.Gene,Gene.Function,KEGG.Pathway,Strain,StudyInGeo,GSEID
PRJNA307608,"SRX1516141, SRX1516142",Other,PA2449,(RefSeq) transcriptional regulator,NA,PAO1,Y,GSE76522
PRJNA307608,"SRX1516139, SRX1516140",Other,None,NA,NA,PAO1,Y,GSE76522
PRJNA315087,SRX1630372,NA,PA1455,(RefSeq) flagellar biosynthesis sigma factor FliA,Two-component system,PAO1,N,NA
PRJNA315087,SRX1630372,NA,PA1455,(RefSeq) flagellar biosynthesis sigma factor FliA,Biofilm formation - Pseudomonas aeruginosa,PAO1,N,NA
PRJNA315087,SRX1630372,NA,PA1455,(RefSeq) flagellar biosynthesis sigma factor FliA,Flagellar assembly,PAO1,N,NA
PRJNA315087,SRX1630362,NA,None,NA,NA,PAO1,N,NA
PRJNA320165,"SRX1737670, SRX1737668, SRX1737667, SRX1737665, SRX1737664, SRX1737662",NA,PA2232,(RefSeq) biofilm formation protein PslB,Fructose and mannose metabolism,PAO1,N,NA
PRJNA320165,"SRX1737670, SRX1737668, SRX1737667, SRX1737665, SRX1737664, SRX1737662",NA,PA2232,(RefSeq) biofilm formation protein PslB,Amino sugar and nucleotide sugar metabolism,PAO1,N,NA
PRJNA320165,"SRX1737670, SRX1737668, SRX1737667, SRX1737665, SRX1737664, SRX1737662",NA,PA2232,(RefSeq) biofilm formation protein PslB,O-Antigen nucleotide sugar biosynthesis,PAO1,N,NA
PRJNA320165,"SRX1737670, SRX1737668, SRX1737667, SRX1737665, SRX1737664, SRX1737662",NA,PA2232,(RefSeq) biofilm formation protein PslB,Metabolic pathways,PAO1,N,NA
PRJNA320165,"SRX1737670, SRX1737668, SRX1737667, SRX1737665, SRX1737664, SRX1737662",NA,PA2232,(RefSeq) biofilm formation protein PslB,Biosynthesis of secondary metabolites,PAO1,N,NA
PRJNA320165,"SRX1737670, SRX1737668, SRX1737667, SRX1737665, SRX1737664, SRX1737662",NA,PA2232,(RefSeq) biofilm formation protein PslB,Biosynthesis of nucleotide sugars,PAO1,N,NA
PRJNA320165,"SRX1737670, SRX1737668, SRX1737667, SRX1737665, SRX1737664, SRX1737662",NA,PA2232,(RefSeq) biofilm formation protein PslB,Biofilm formation - Pseudomonas aeruginosa,PAO1,N,NA
PRJNA320165,"SRX1737670, SRX1737668, SRX1737667, SRX1737665, SRX1737664, SRX1737662",NA,PA2233,(RefSeq) biofilm formation protein PslC,Biofilm formation - Pseudomonas aeruginosa,PAO1,N,NA
PRJNA320165,"SRX1737670, SRX1737668, SRX1737667, SRX1737665, SRX1737664, SRX1737662",NA,PA2234,(RefSeq) biofilm formation protein PslD,Biofilm formation - Pseudomonas aeruginosa,PAO1,N,NA
PRJNA320165,"SRX1737670, SRX1737668, SRX1737667, SRX1737665, SRX1737664, SRX1737662",NA,PA3064,(RefSeq) hypothetical protein,Biofilm formation - Pseudomonas aeruginosa,PAO1,N,NA
PRJNA320165,"SRX1737670, SRX1737668, SRX1737667, SRX1737665, SRX1737664, SRX1737662",NA,PA3703,(RefSeq) chemotaxis-specific methylesterase,Two-component system,PAO1,N,NA
PRJNA320165,"SRX1737670, SRX1737668, SRX1737667, SRX1737665, SRX1737664, SRX1737662",NA,PA3703,(RefSeq) chemotaxis-specific methylesterase,Biofilm formation - Pseudomonas aeruginosa,PAO1,N,NA
PRJNA322024,"SRX1771586, SRX1771587, SRX1771590, SRX1771591",LB,PA4462,(RefSeq) RNA polymerase factor sigma-54,Two-component system,PAO1,Y,GSE81573
PRJNA322024,"SRX1771586, SRX1771587, SRX1771590, SRX1771591",LB,PA4462,(RefSeq) RNA polymerase factor sigma-54,Flagellar assembly,PAO1,Y,GSE81573
PRJNA322024,"SRX1771586, SRX1771587, SRX1771590, SRX1771591",LB,PA4462,(RefSeq) RNA polymerase factor sigma-54,Two-component system,PAO1,Y,GSE81573
PRJNA322024,"SRX1771586, SRX1771587, SRX1771590, SRX1771591",LB,PA4462,(RefSeq) RNA polymerase factor sigma-54,Flagellar assembly,PAO1,Y,GSE81573
PRJNA322024,"SRX1771584, SRX1771585, SRX1771588, SRX1771589",LB,None,NA,NA,PAO1,Y,GSE81573
PRJNA349811,"SRX2255955, SRX2255954, SRX2255951, SRX2255950",NA,PA4704.1,(RefSeq) regulatory RNA PrrF1,NA,PAO1,N,NA
PRJNA349811,"SRX2255955, SRX2255954",NA,PA4704.2,(RefSeq) regulatory RNA PrrF2,NA,PAO1,N,NA
PRJNA349811,"SRX2255953, SRX2255952",NA,None,NA,NA,PAO1,N,NA
PRJNA381683,"SRX2711967, SRX2711966",NA,PA3703,(RefSeq) chemotaxis-specific methylesterase,Two-component system,PAO1,N,NA
PRJNA381683,"SRX2711967, SRX2711966",NA,PA3703,(RefSeq) chemotaxis-specific methylesterase,Biofilm formation - Pseudomonas aeruginosa,PAO1,N,NA
PRJNA381683,"SRX2711965, SRX2711964, SRX2711963, SRX2711962",NA,None,NA,NA,PAO1,N,NA
PRJNA384725,"SRX2768524, SRX2768525, SRX2768526",Other,PA0336,(RefSeq) RNA pyrophosphohydrolase,RNA degradation,PAO1,Y,GSE98329
PRJNA384725,"SRX2768521, SRX2768522, SRX2768523",Other,None,NA,NA,PAO1,Y,GSE98329
PRJNA433727,"SRX3679617, SRX3679618",LB,PA4462,(RefSeq) RNA polymerase factor sigma-54,Two-component system,PAO1,Y,GSE110445
PRJNA433727,"SRX3679617, SRX3679618",LB,PA4462,(RefSeq) RNA polymerase factor sigma-54,Flagellar assembly,PAO1,Y,GSE110445
PRJNA433727,"SRX3679615, SRX3679616",LB,None,NA,NA,PAO1,Y,GSE110445
PRJNA433924,"SRX856374, SRX856375, SRX3679617, SRX3679618",LB,PA4462,(RefSeq) RNA polymerase factor sigma-54,Two-component system,PAO1,Y,GSE110522
PRJNA433924,"SRX856374, SRX856375, SRX3679617, SRX3679618",LB,PA4462,(RefSeq) RNA polymerase factor sigma-54,Flagellar assembly,PAO1,Y,GSE110522
PRJNA433924,"SRX856388, SRX856389",LB,PA3702,(RefSeq) two-component response regulator wspR,Two-component system,PAO1,Y,GSE110522
PRJNA433924,"SRX856388, SRX856389",LB,PA3702,(RefSeq) two-component response regulator wspR,Biofilm formation - Pseudomonas aeruginosa,PAO1,Y,GSE110522
PRJNA433924,"SRX856386, SRX856387",LB,PA2492,(RefSeq) transcriptional regulator mexT,NA,PAO1,Y,GSE110522
PRJNA433924,"SRX856382, SRX856383",LB,PA2586,(RefSeq) response regulator gacA,Two-component system,PAO1,Y,GSE110522
PRJNA433924,"SRX856382, SRX856383",LB,PA2586,(RefSeq) response regulator gacA,Biofilm formation - Pseudomonas aeruginosa,PAO1,Y,GSE110522
PRJNA433924,"SRX856380, SRX856381",LB,PA1713,"(RefSeq) exoenzyme S transcriptional regulator ExsA
",Biofilm formation - Pseudomonas aeruginosa,PAO1,Y,GSE110522
PRJNA433924,"SRX856378, SRX856379",LB,PA5261,(RefSeq) alginate biosynthesis regulatory protein AlgR,Two-component system,PAO1,Y,GSE110522
PRJNA433924,"SRX856384, SRX856385",LB,PA2588,(RefSeq) transcriptional regulator CdpR,NA,PAO1,Y,GSE110522
PRJNA433924,"SRX856376, SRX856377",LB,PA0652,(RefSeq) cAMP-regulatory protein vfr,Two-component system,PAO1,Y,GSE110522
PRJNA433924,"SRX856376, SRX856377",LB,PA0652,(RefSeq) cAMP-regulatory protein vfr,Quorum sensing,PAO1,Y,GSE110522
PRJNA433924,"SRX856376, SRX856377",LB,PA0652,(RefSeq) cAMP-regulatory protein vfr,Biofilm formation - Pseudomonas aeruginosa,PAO1,Y,GSE110522
PRJNA433924,"SRX3679615, SRX3679616, SRX856384, SRX856385",LB,None,NA,NA,PAO1,Y,GSE110522
PRJNA436889,"SRX3763717, SRX3763716, SRX3763715",NA,PA1754,(RefSeq) transcriptional regulator CysB,NA,PAO1,N,NA
PRJNA436889,"SRX3763714, SRX3763713, SRX3763712",NA,None,NA,NA,PAO1,N,NA
PRJNA479815,"SRX4342822, SRX4342819",NA,PA2262,(RefSeq) 2-ketogluconate transporter,NA,PAO1,N,NA
PRJNA479815,"SRX4342822, SRX4342819",NA,PA2322,(RefSeq) gluconate permease,NA,PAO1,N,NA
PRJNA479815,"SRX4342822, SRX4342819",NA,PA3187,(RefSeq) ABC transporter ATP-binding protein,ABC transporters,PAO1,N,NA
PRJNA479815,"SRX4342822, SRX4342819",NA,PA3188,(RefSeq) sugar ABC transporter permease,ABC transporters,PAO1,N,NA
PRJNA479815,"SRX4342822, SRX4342819",NA,PA3189,(RefSeq) sugar ABC transporter permease,ABC transporters,PAO1,N,NA
PRJNA479815,"SRX4342821, SRX4342820, SRX4342818, SRX4342817",NA,None,NA,NA,PAO1,N,NA
PRJNA496467,"SRX4884854, SRX4884855",Other,PA1003,(RefSeq) transcriptional regulator MvfR,Quorum sensing,PAO1,Y,GSE121243
PRJNA496467,"SRX4884854, SRX4884855",Other,PA1003,(RefSeq) transcriptional regulator MvfR,Biofilm formation - Pseudomonas aeruginosa,PAO1,Y,GSE121243
PRJNA496467,"SRX4884858, SRX4884859",Other,PA1898,(RefSeq) quorum-sensing control repressor,NA,PAO1,Y,GSE121243
PRJNA496467,"SRX4884856, SRX4884857",Other,PA3477,(RefSeq) transcriptional regulator RhlR,Quorum sensing,PAO1,Y,GSE121243
PRJNA496467,"SRX4884856, SRX4884857",Other,PA3477,(RefSeq) transcriptional regulator RhlR,Biofilm formation - Pseudomonas aeruginosa,PAO1,Y,GSE121243
PRJNA496467,"SRX4884852, SRX4884853, SRX4884860, SRX4884861",Other,None,NA,NA,PAO1,Y,GSE121243
PRJNA504405,SRX4990983,Other,PA0676,(RefSeq) sigma factor regulator VreR,NA,PAO1,Y,GSE122253
PRJNA504405,SRX4990982,Other,None,NA,NA,PAO1,Y,GSE122253
PRJNA504928,"SRX5003354, SRX5003353",NA,PA4101,(RefSeq) protein BfmR,NA,PAO1,N,NA
PRJNA504928,"SRX5003360, SRX5003359, SRX5003356, SRX5003355, SRX5003354, SRX5003353",NA,PA4102,(RefSeq) protein BfmS,NA,PAO1,N,NA
PRJNA504928,"SRX5003358, SRX5003357",NA,None,NA,NA,PAO1,N,NA
PRJNA508412,"SRX5096111, SRX5096112, SRX5096113, SRX5096114, SRX5096115, SRX5096116, SRX5096117, SRX5096118",Other,PA2076,(RefSeq) transcriptional regulator,NA,PAO1,Y,GSE123356
PRJNA525278,"SRX5457607, SRX5457608",LB,PA4595,(RefSeq) ABC transporter ATP-binding protein,NA,PAO1,Y,GSE127751
PRJNA525278,"SRX5457605, SRX5457606",LB,None,NA,NA,PAO1,Y,GSE127751
PRJNA527727,"SRX5534356, SRX5534355, SRX5534338, SRX5534337",LB,PA1097,(RefSeq) transcriptional regulator FleQ,Two-component system,PAO1,Y,GSE128430
PRJNA527727,"SRX5534356, SRX5534355, SRX5534338, SRX5534337",LB,PA1097,(RefSeq) transcriptional regulator FleQ,Biofilm formation - Pseudomonas aeruginosa,PAO1,Y,GSE128430
PRJNA527727,"SRX5534356, SRX5534355, SRX5534338, SRX5534337",LB,PA1097,(RefSeq) transcriptional regulator FleQ,Flagellar assembly,PAO1,Y,GSE128430
PRJNA527727,"SRX5534362, SRX5534361",LB,PA1430,(RefSeq) transcriptional regulator LasR,Quorum sensing,PAO1,Y,GSE128430
PRJNA527727,"SRX5534362, SRX5534361",LB,PA1430,(RefSeq) transcriptional regulator LasR,Biofilm formation - Pseudomonas aeruginosa,PAO1,Y,GSE128430
PRJNA527727,"SRX5534368, SRX5534367",LB,PA1431,(RefSeq) regulatory protein RsaL,NA,PAO1,Y,GSE128430
PRJNA527727,"SRX5534354, SRX5534353",LB,PA1713,(RefSeq) exoenzyme S transcriptional regulator ExsA,Biofilm formation - Pseudomonas aeruginosa,PAO1,Y,GSE128430
PRJNA527727,"SRX5860642, SRX5860641",LB,PA1898,(RefSeq) quorum-sensing control repressor,NA,PAO1,Y,GSE128430
PRJNA527727,"SRX5860646, SRX5860645",LB,PA2227,(RefSeq) HTH-type transcriptional regulator VqsM,NA,PAO1,Y,GSE128430
PRJNA527727,"SRX5534358, SRX5534357",LB,PA2586,(RefSeq) response regulator GacA,Two-component system,PAO1,Y,GSE128430
PRJNA527727,"SRX5534358, SRX5534357",LB,PA2586,(RefSeq) response regulator GacA,Biofilm formation - Pseudomonas aeruginosa,PAO1,Y,GSE128430
PRJNA527727,"SRX5534352, SRX5534351",LB,PA2588,(RefSeq) transcriptional regulator,NA,PAO1,Y,GSE128430
PRJNA527727,"SRX5534372, SRX5534371",LB,PA2591,(RefSeq) transcriptional regulator,NA,PAO1,Y,GSE128430
PRJNA527727,"SRX5534364, SRX5534363, SRX5534342, SRX5534341",LB,PA4227,(RefSeq) transcriptional regulator PchR,NA,PAO1,Y,GSE128430
PRJNA527727,"SRX5534350, SRX5534349",LB,PA5261,(RefSeq) alginate biosynthesis regulatory protein AlgR,Two-component system,PAO1,Y,GSE128430
PRJNA527727,"SRX5534370, SRX5534369, SRX5534346, SRX5534345",LB,PA5324,(RefSeq) transcriptional regulator,NA,PAO1,Y,GSE128430
PRJNA527727,"SRX5534366, SRX5534365, SRX5534344, SRX5534343",LB,PA5360,(RefSeq) two-component response regulator PhoB,Two-component system,PAO1,Y,GSE128430
PRJNA527727,"SRX5534360, SRX5534359, SRX5534340, SRX5534339",LB,PA5380,(RefSeq) protein GbdR,NA,PAO1,Y,GSE128430
PRJNA527727,"SRX5860644, SRX5860643, SRX5860640, SRX5860639, SRX5534380, SRX5534379, SRX5534378, SRX5534377, SRX5534376, SRX5534375, SRX5534374, SRX5534373, SRX5534348, SRX5534347",LB,None,NA,NA,PAO1,Y,GSE128430
PRJNA531832,"SRX5661367, SRX5661368, SRX5661369, SRX5661370",LB,PA3880,(RefSeq) hypothetical protein,NA,PAO1,Y,GSE129571
PRJNA531832,"SRX5661363, SRX5661364, SRX5661365, SRX5661366",LB,None,NA,NA,PAO1,Y,GSE129571
PRJNA561327,"SRX6747941, SRX6747942, SRX6747943, SRX6747944, SRX6747945, SRX6747946, SRX6747947, SRX6747948, SRX6747949, SRX6747950, SRX6747951, SRX6747952, SRX6747953, SRX6747954, SRX6747955, SRX6747956, SRX6747957, SRX6747958",LB,PA4944,(RefSeq) RNA-binding protein Hfq,Quorum sensing,PAO1,Y,GSE136112
PRJNA561327,"SRX6747941, SRX6747942, SRX6747943, SRX6747944, SRX6747945, SRX6747946, SRX6747947, SRX6747948, SRX6747949, SRX6747950, SRX6747951, SRX6747952, SRX6747953, SRX6747954, SRX6747955, SRX6747956, SRX6747957, SRX6747958",LB,PA4944,(RefSeq) RNA-binding protein Hfq,RNA degradation,PAO1,Y,GSE136112
PRJNA561330,"SRX6747941, SRX6747942, SRX6747943, SRX6747944, SRX6747945, SRX6747946, SRX6747947, SRX6747948, SRX6747949, SRX6747950, SRX6747951, SRX6747952, SRX6747953, SRX6747954, SRX6747955, SRX6747956, SRX6747957, SRX6747958",LB,PA4944,(RefSeq) RNA-binding protein Hfq,Quorum sensing,PAO1,Y,GSE136110
PRJNA561330,"SRX6747941, SRX6747942, SRX6747943, SRX6747944, SRX6747945, SRX6747946, SRX6747947, SRX6747948, SRX6747949, SRX6747950, SRX6747951, SRX6747952, SRX6747953, SRX6747954, SRX6747955, SRX6747956, SRX6747957, SRX6747958",LB,PA4944,(RefSeq) RNA-binding protein Hfq,RNA degradation,PAO1,Y,GSE136110
PRJNA561332,"SRX6747953, SRX6747954, SRX6747955, SRX6747956, SRX6747957, SRX6747958",LB,PA4944,(RefSeq) RNA-binding protein Hfq,Quorum sensing,PAO1,Y,GSE136111
PRJNA561332,"SRX6747953, SRX6747954, SRX6747955, SRX6747956, SRX6747957, SRX6747958",LB,PA4944,(RefSeq) RNA-binding protein Hfq,RNA degradation,PAO1,Y,GSE136111
PRJNA575528,"SRX6938674, SRX6938675, SRX6938676, SRX6938677, SRX6938678, SRX6938679, SRX6938688, SRX6938689, SRX6938690, SRX6938691, SRX6938692, SRX6938693, SRX7718980, SRX7718980, SRX7718981, SRX7718982",LB,PA0905,(RefSeq) carbon storage regulator,Two-component system,PAO1,Y,GSE138338
PRJNA575528,"SRX6938674, SRX6938675, SRX6938676, SRX6938677, SRX6938678, SRX6938679, SRX6938688, SRX6938689, SRX6938690, SRX6938691, SRX6938692, SRX6938693, SRX7718980, SRX7718980, SRX7718981, SRX7718982",LB,PA0905,(RefSeq) carbon storage regulator,Biofilm formation - Pseudomonas aeruginosa,PAO1,Y,GSE138338
PRJNA575528,"SRX6938681, SRX6938682, SRX6938683, SRX6938684, SRX6938685, SRX6938686, SRX7718983, SRX7718984, SRX7718985",LB,PA4944,(RefSeq) RNA-binding protein Hfq,Quorum sensing,PAO1,Y,GSE138338
PRJNA575528,"SRX6938681, SRX6938682, SRX6938683, SRX6938684, SRX6938685, SRX6938686, SRX7718983, SRX7718984, SRX7718985",LB,PA4944,(RefSeq) RNA-binding protein Hfq,RNA degradation,PAO1,Y,GSE138338
PRJNA575528,"SRX6938680, SRX6938687, SRX7718977, SRX7718978, SRX7718979",LB,None,NA,NA,PAO1,Y,GSE138338
PRJNA587337,"SRX7113190, SRX7113189",NA,PA0611,(RefSeq) HTH-type transcriptional regulator PrtR,NA,PAO1,N,NA
PRJNA613082,"SRX7940216, SRX7940217, SRX7940218",Other,PA0934,(RefSeq) GTP pyrophosphokinase,Purine metabolism,PAO1,Y,GSE147132
PRJNA613082,"SRX7940216, SRX7940217, SRX7940218",Other,PA0934,(RefSeq) GTP pyrophosphokinase,Metabolic pathways,PAO1,Y,GSE147132
PRJNA613082,"SRX7940216, SRX7940217, SRX7940218",Other,PA5338,"(RefSeq) guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase",Purine metabolism,PAO1,Y,GSE147132
PRJNA613082,"SRX7940216, SRX7940217, SRX7940218",Other,PA5338,"(RefSeq) guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase",Metabolic pathways,PAO1,Y,GSE147132
PRJNA613082,"SRX7940213, SRX7940214, SRX7940215",Other,None,NA,NA,PAO1,Y,GSE147132
PRJNA625096,"SRX8111266, SRX8111267, SRX8111270, SRX8111271",Other,PA0763,(RefSeq) sigma factor AlgU negative regulator MucA,NA,PAO1,Y,GSE148593
PRJNA625096,"SRX8111266, SRX8111267, SRX8111268, SRX8111269",Other,PA5253,(RefSeq) alginate regulatory protein AlgP,NA,PAO1,Y,GSE148593
PRJNA625096,"SRX8111264, SRX8111265,",Other,None,NA,NA,PAO1,Y,GSE148593
PRJNA626445,"SRX8138063, SRX8138064",LB,PA2371,(RefSeq) ClpA/B-type protease,Biofilm formation - Pseudomonas aeruginosa,PAO1,Y,GSE148116
PRJNA626445,"SRX8138063, SRX8138064",LB,PA2371,(RefSeq) ClpA/B-type protease,Bacterial secretion system,PAO1,Y,GSE148116
PRJNA626445,"SRX8138061, SRX8138062",LB,None,NA,NA,PAO1,Y,GSE148116
PRJNA639519,"SRX8549738, SRX8549739, SRX8549740, SRX8549741, SRX8549742, SRX8549743",LB,PA0934,(RefSeq) GTP pyrophosphokinase relA,Purine metabolism,PAO1,Y,GSE152485
PRJNA639519,"SRX8549738, SRX8549739, SRX8549740, SRX8549741, SRX8549742, SRX8549743",LB,PA0934,(RefSeq) GTP pyrophosphokinase relA,Metabolic pathways,PAO1,Y,GSE152485
PRJNA639519,"SRX9446650, SRX9446651, SRX9446652, SRX8549732, SRX8549733, SRX8549734, SRX854863, SRX8548635, SRX8548636, SRX8548637, SRX8548630, SRX8548631, SRX8548632",LB,PA0907,(RefSeq) hypothetical protein alpA,NA,PAO1,Y,GSE152485
PRJNA639519,"SRX8548629, SRX8548633, SRX8548634, SRX8548638, SRX8548639, SRX8548640, SRX8549735, SRX8549736, SRX8549737",LB,None,NA,NA,PAO1,Y,GSE152485
PRJNA639523,"SRX8549738, SRX8549739, SRX8549740, SRX8549741, SRX8549742, SRX8549743",LB,PA0934,(RefSeq) GTP pyrophosphokinase relA,Purine metabolism,PAO1,Y,GSE152484
PRJNA639523,"SRX8549738, SRX8549739, SRX8549740, SRX8549741, SRX8549742, SRX8549743",LB,PA0934,(RefSeq) GTP pyrophosphokinase relA,Metabolic pathways,PAO1,Y,GSE152484
PRJNA639523,"SRX8549732, SRX8549733, SRX8549734",LB,PA0907,(RefSeq) hypothetical protein alpA,NA,PAO1,Y,GSE152484
PRJNA639523,"SRX8549735, SRX8549736, SRX8549737",LB,None,NA,NA,PAO1,Y,GSE152484
PRJNA648174,"SRX8816670, SRX8816671, SRX8816672, SRX8816673, SRX8816674, SRX8816675",LB,PA0576,(RefSeq) RNA polymerase sigma factor RpoD,Flagellar assembly,PAO1,Y,GSE155025
PRJNA648174,"SRX8816664, SRX8816665, SRX8816666, SRX8816667, SRX8816668, SRX8816669, SRX8816673, SRX8816674, SRX8816675",LB,PA2667,(RefSeq) hypothetical protein MvaU,NA,PAO1,Y,GSE155025
PRJNA648174,"SRX8816667, SRX8816668, SRX8816669, SRX8816673, SRX8816674, SRX8816675",LB,PA4315,(RefSeq) transcriptional regulator MvaT,NA,PAO1,Y,GSE155025
PRJNA648174,"SRX8816661, SRX8816662, SRX8816663, SRX8816664, SRX8816665, SRX8816666, SRX8816667, SRX8816668, SRX8816669, SRX8816670, SRX8816671, SRX8816672, SRX8816673, SRX8816674, SRX8816675",LB,PA4554,(RefSeq) type 4 fimbrial biogenesis protein PilY1,NA,PAO1,Y,GSE155025
PRJNA648174,"SRX8816640, SRX8816641, SRX8816642, SRX8816643, SRX8816644, SRX8816645, SRX8816646, SRX8816647, SRX8816648, SRX8816649, SRX8816650, SRX8816651, SRX8816652, SRX8816653, SRX8816654, SRX8816655, SRX8816656, SRX8816657, SRX8816658, SRX8816659, SRX8816660",LB,None,NA,NA,PAO1,Y,GSE155025
PRJNA649981,"SRX8862511, SRX8862512",LB,PA0535,(RefSeq) transcriptional regulator,NA,PAO1,Y,GSE155521
PRJNA649981,"SRX8862513, SRX8862514",LB,PA1359,(RefSeq) transcriptional regulator,NA,PAO1,Y,GSE155521
PRJNA649981,"SRX8862515, SRX8862516",LB,PA1884,(RefSeq) transcriptional regulator,NA,PAO1,Y,GSE155521
PRJNA649981,"SRX8862517, SRX8862518",LB,PA2312,(RefSeq) transcriptional regulator,NA,PAO1,Y,GSE155521
PRJNA649981,"SRX8862519, SRX8862520",LB,PA4499,(RefSeq) transcriptional regulator,NA,PAO1,Y,GSE155521
PRJNA649981,"SRX8862521, SRX8862522",LB,PA4987,(RefSeq) transcriptional regulator,NA,PAO1,Y,GSE155521
PRJNA649981,"SRX8862523, SRX8862524",LB,PA5301,(RefSeq) transcriptional regulator,NA,PAO1,Y,GSE155521
PRJNA649981,"SRX8862509, SRX8862510",LB,None,NA,NA,PAO1,Y,GSE155521
PRJNA685406,"SRX9686512, SRX9686513, SRX9686514, SRX9686515, SRX9686516",LB,PA2121,(RefSeq) transcriptional regulator BsrA,NA,PAO1,Y,GSE163235
PRJNA685406,"SRX10142057, SRX10142058, SRX10142059, SRX10142053, SRX10142054, SRX10142055",LB,PA3458,(RefSeq) transcriptional regulator,NA,PAO1,Y,GSE163235
PRJNA685406,"SRX9706776, SRX9706777, SRX9706778, SRX9706779, SRX9706780, SRX9706781, SRX9706772",LB,PA3027,(RefSeq) transcriptional regulator,NA,PAO1,Y,GSE163235
PRJNA685406,"SRX12812060, SRX12812061, SRX12812115, SRX12812116, SRX12812117",LB,PA2577,(RefSeq) transcriptional regulator,NA,PAO1,Y,GSE163235
PRJNA685406,"SRX10142060, SRX10142061, SRX10142062, SRX10142056, SRX9706788, SRX9706773, SRX9706774, SRX9706775, SRX9686591, SRX12812118, SRX12812119, SRX9686509, SRX9686510, SRX9686511, SRX12812062",LB,None,NA,NA,PAO1,Y,GSE163235
PRJNA685596,"SRX9686512, SRX9686513, SRX9686514",LB,PA2121,(RefSeq) transcriptional regulator,NA,PAO1,Y,GSE163234
PRJNA685596,"SRX9686509, SRX9686510, SRX9686511",LB,None,NA,NA,PAO1,Y,GSE163234
PRJNA686675,"SRX9706776, SRX9706777, SRX9706772",LB,PA3027,(RefSeq) transcriptional regulator,NA,PAO1,Y,GSE163555
PRJNA686675,"SRX9706773, SRX9706774, SRX9706775",LB,None,NA,NA,PAO1,Y,GSE163555
PRJNA691924,"SRX9843978, SRX9843979",M9 Media,PA1912,(RefSeq) ECF sigma factor FemI,NA,PAO1,Y,GSE164773
PRJNA691924,"SRX9843974, SRX9843975, SRX9843976, SRX9843977",M9 Media,None,NA,NA,PAO1,Y,GSE164773
