"operon-id","operon_name","locus_tag","start","end","strand","gene_name","source_database","pmid"
"operon-19","tagJ1-tssE1-tssF1-tssG1-clpV1-vgrG1","PA0090",108221,110929,1,"clpV1","DOOR",18988623
"operon-19","tagJ1-tssE1-tssF1-tssG1-clpV1-vgrG1","PA0091",110976,112907,1,"vgrG1","DOOR",18988623
"operon-20","PA0094-PA0093-PA0092","PA0092",113022,113306,-1,"tsi6","DOOR",18988623
"operon-20","PA0094-PA0093-PA0092","PA0093",113303,114595,-1,"tse6","DOOR",18988623
"operon-20","PA0094-PA0093-PA0092","PA0094",114611,115045,-1,"eagT6","DOOR",18988623
"operon-21","PA0095-PA0096-PA0097-PA0098-PA0099-PA0100-PA0101","PA0095",115299,117524,1,"","DOOR",18988623
"operon-21","PA0095-PA0096-PA0097-PA0098-PA0099-PA0100-PA0101","PA0096",117552,118001,1,"","DOOR",18988623
"operon-21","PA0095-PA0096-PA0097-PA0098-PA0099-PA0100-PA0101","PA0097",117931,119130,1,"","DOOR",18988623
"operon-21","PA0095-PA0096-PA0097-PA0098-PA0099-PA0100-PA0101","PA0098",119127,120164,1,"","DOOR",18988623
"operon-21","PA0095-PA0096-PA0097-PA0098-PA0099-PA0100-PA0101","PA0099",120164,121324,1,"","DOOR",18988623
"operon-21","PA0095-PA0096-PA0097-PA0098-PA0099-PA0100-PA0101","PA0100",121346,122266,1,"","DOOR",18988623
"operon-21","PA0095-PA0096-PA0097-PA0098-PA0099-PA0100-PA0101","PA0101",122248,123495,1,"","DOOR",18988623
"operon-22","coxB-coxA-PA0107-coIII","PA0105",127378,128502,1,"coxB","DOOR",18988623
"operon-22","coxB-coxA-PA0107-coIII","PA0106",128512,130104,1,"coxA","DOOR",18988623
"operon-22","coxB-coxA-PA0107-coIII","PA0107",130115,130669,1,"","DOOR",18988623
"operon-22","coxB-coxA-PA0107-coIII","PA0108",130680,131567,1,"coIII","DOOR",18988623
"operon-23","PA0110-PA0111","PA0110",131808,132602,1,"","DOOR",18988623
"operon-23","PA0110-PA0111","PA0111",132577,133155,1,"","DOOR",18988623
"operon-24","PA0112-PA0113-senC","PA0112",133220,134293,1,"","DOOR",18988623
"operon-24","PA0112-PA0113-senC","PA0113",134319,135233,1,"","DOOR",18988623
"operon-24","PA0112-PA0113-senC","PA0114",135259,135894,1,"senC","DOOR",18988623
"operon-25","PA0117-PA0118","PA0117",137248,137976,1,"","DOOR",18988623
"operon-25","PA0117-PA0118","PA0118",138001,138588,1,"","DOOR",18988623
"operon-26","PA0119-PA0120","PA0119",138818,140167,1,"","DOOR",18988623
"operon-26","PA0119-PA0120","PA0120",140216,140902,1,"","DOOR",18988623
"operon-41809","rhaU","PA0122",141917,142327,1,"rahU","PseudoCAP",19682264
"operon-27","PA0125-PA0124","PA0124",143567,143848,-1,"","DOOR",18988623
"operon-27","PA0125-PA0124","PA0125",143845,144072,-1,"","DOOR",18988623
"operon-28","bauA-bauB-bauC","PA0130",147561,149054,-1,"bauC","DOOR",18988623
"operon-28","bauA-bauB-bauC","PA0131",149138,149425,-1,"bauB","DOOR",18988623
"operon-28","bauA-bauB-bauC","PA0132",149425,150771,-1,"bauA","DOOR",18988623
"operon-29","PA0136-PA0137-PA0138","PA0136",154417,155988,1,"","DOOR",18988623
"operon-29","PA0136-PA0137-PA0138","PA0137",155988,157085,1,"","DOOR",18988623
"operon-29","PA0136-PA0137-PA0138","PA0138",157108,158034,1,"","DOOR",18988623
"operon-41723","ahpCF","PA0139",158199,158762,1,"ahpC","PseudoCAP",10913087
"operon-41723","ahpCF","PA0140",158907,160472,1,"ahpF","PseudoCAP",10913087
"operon-41810","nuh","PA0143",163363,164415,1,"nuh","PseudoCAP",19682264
"operon-41811","PA0144","PA0144",164443,165069,-1,"","PseudoCAP",19682264
"operon-30","PA0146-PA0147","PA0146",165976,167073,1,"","DOOR",18988623
"operon-30","PA0146-PA0147","PA0147",167146,168108,1,"","DOOR",18988623
"operon-31","PA0149-PA0150","PA0149",169361,169906,1,"","DOOR",18988623
"operon-31","PA0149-PA0150","PA0150",169903,170898,1,"","DOOR",18988623
"operon-32","pcaH-pcaG","PA0153",174773,175492,1,"pcaH","DOOR",18988623
"operon-32","pcaH-pcaG","PA0154",175503,176108,1,"pcaG","DOOR",18988623
"operon-33","triA-triB-triC","PA0156",177307,178458,1,"triA","DOOR",18988623
"operon-33","triA-triB-triC","PA0157",178455,179525,1,"triB","DOOR",18988623
"operon-33","triA-triB-triC","PA0158",179522,182569,1,"triC","DOOR",18988623
"operon-34","PA0167-PA0168","PA0167",191697,192362,1,"","DOOR",18988623
"operon-34","PA0167-PA0168","PA0168",192368,192958,1,"","DOOR",18988623
"operon-35","siaA-PA0171-PA0170","PA0170",193799,194179,-1,"","DOOR",18988623
"operon-35","siaA-PA0171-PA0170","PA0171",194206,194748,-1,"","DOOR",18988623
"operon-35","siaA-PA0171-PA0170","PA0172",194757,196748,-1,"siaA","DOOR",18988623
"operon-36","PA0179-PA0178-PA0177-aer2-PA0175-PA0174-PA0173","PA0173",197011,198060,-1,"","DOOR",18988623
"operon-36","PA0179-PA0178-PA0177-aer2-PA0175-PA0174-PA0173","PA0174",198080,198682,-1,"","DOOR",18988623
"operon-36","PA0179-PA0178-PA0177-aer2-PA0175-PA0174-PA0173","PA0175",198688,199530,-1,"cheR2","DOOR",18988623
"operon-36","PA0179-PA0178-PA0177-aer2-PA0175-PA0174-PA0173","PA0176",199600,201639,-1,"","DOOR",18988623
"operon-41812","cheY2A2W2-aer2","PA0176",199600,201639,-1,"","PseudoCAP",14987771
"operon-41812","cheY2A2W2-aer2","PA0176",199600,201639,-1,"","PseudoCAP",15687220
"operon-36","PA0179-PA0178-PA0177-aer2-PA0175-PA0174-PA0173","PA0177",201675,202160,-1,"","DOOR",18988623
"operon-41812","cheY2A2W2-aer2","PA0177",201675,202160,-1,"","PseudoCAP",14987771
"operon-41812","cheY2A2W2-aer2","PA0177",201675,202160,-1,"","PseudoCAP",15687220
"operon-36","PA0179-PA0178-PA0177-aer2-PA0175-PA0174-PA0173","PA0178",202147,204066,-1,"","DOOR",18988623
"operon-41812","cheY2A2W2-aer2","PA0178",202147,204066,-1,"","PseudoCAP",14987771
"operon-41812","cheY2A2W2-aer2","PA0178",202147,204066,-1,"","PseudoCAP",15687220
"operon-36","PA0179-PA0178-PA0177-aer2-PA0175-PA0174-PA0173","PA0179",204094,204459,-1,"","DOOR",18988623
"operon-41812","cheY2A2W2-aer2","PA0179",204094,204459,-1,"","PseudoCAP",14987771
"operon-41812","cheY2A2W2-aer2","PA0179",204094,204459,-1,"","PseudoCAP",15687220
"operon-37","PA0185-PA0184-atsA","PA0183",207923,209533,-1,"atsA","DOOR",18988623
"operon-37","PA0185-PA0184-atsA","PA0184",209621,210460,-1,"","DOOR",18988623
"operon-37","PA0185-PA0184-atsA","PA0185",210457,212073,-1,"","DOOR",18988623
"operon-38","PA0187-PA0188","PA0187",213819,214634,1,"","DOOR",18988623
"operon-38","PA0187-PA0188","PA0188",214631,215512,1,"","DOOR",18988623
"operon-39","PA0192-PA0193-PA0194","PA0192",219172,221544,1,"","DOOR",18988623
"operon-39","PA0192-PA0193-PA0194","PA0193",221585,222487,1,"","DOOR",18988623
"operon-39","PA0192-PA0193-PA0194","PA0194",222555,223454,1,"","DOOR",18988623
"operon-40","pntAB-pntB","PA0195.1",225295,225603,1,"pntAB","DOOR",18988623
"operon-40","pntAB-pntB","PA0196",225603,227039,1,"pntB","DOOR",18988623
"operon-41","tonB2-exbB1-exbD1","PA0197",227382,228194,1,"tonB2","DOOR",18988623
"operon-41","tonB2-exbB1-exbD1","PA0198",228223,228942,1,"exbB1","DOOR",18988623
"operon-41","tonB2-exbB1-exbD1","PA0199",228944,229345,1,"exbD1","DOOR",18988623
"operon-42","PA0206-PA0205-PA0204-PA0203","PA0203",232066,233100,-1,"","DOOR",18988623
"operon-42","PA0206-PA0205-PA0204-PA0203","PA0204",233123,233932,-1,"","DOOR",18988623
"operon-42","PA0206-PA0205-PA0204-PA0203","PA0205",233929,234849,-1,"","DOOR",18988623
"operon-42","PA0206-PA0205-PA0204-PA0203","PA0206",234875,235987,-1,"","DOOR",18988623
"operon-43","mdcA-PA0209-mdcC-mdcD-mdcE-PA0213-PA0214","PA0208",237232,238896,1,"mdcA","DOOR",18988623
"operon-43","mdcA-PA0209-mdcC-mdcD-mdcE-PA0213-PA0214","PA0209",238896,239777,1,"","DOOR",18988623
"operon-43","mdcA-PA0209-mdcC-mdcD-mdcE-PA0213-PA0214","PA0210",239779,240078,1,"mdcC","DOOR",18988623
"operon-43","mdcA-PA0209-mdcC-mdcD-mdcE-PA0213-PA0214","PA0211",240071,240934,1,"mdcD","DOOR",18988623
"operon-43","mdcA-PA0209-mdcC-mdcD-mdcE-PA0213-PA0214","PA0212",240931,241737,1,"mdcE","DOOR",18988623
"operon-43","mdcA-PA0209-mdcC-mdcD-mdcE-PA0213-PA0214","PA0213",241753,242445,1,"","DOOR",18988623
"operon-43","mdcA-PA0209-mdcC-mdcD-mdcE-PA0213-PA0214","PA0214",242442,243374,1,"","DOOR",18988623
"operon-44","PA0215-PA0216","PA0215",243431,243835,1,"","DOOR",18988623
"operon-44","PA0215-PA0216","PA0216",243841,244605,1,"","DOOR",18988623
"operon-45","PA0219-PA0220-PA0221","PA0219",247219,248709,1,"","DOOR",18988623
"operon-45","PA0219-PA0220-PA0221","PA0220",248767,250200,1,"","DOOR",18988623
"operon-45","PA0219-PA0220-PA0221","PA0221",250231,251613,1,"","DOOR",18988623
"operon-46","PA0224-PA0223","PA0223",252913,253794,-1,"","DOOR",18988623
"operon-46","PA0224-PA0223","PA0224",253854,254636,-1,"","DOOR",18988623
"operon-47","PA0226-PA0227-pcaF","PA0226",255481,256332,1,"","DOOR",18988623
"operon-47","PA0226-PA0227-pcaF","PA0227",256329,257111,1,"","DOOR",18988623
"operon-47","PA0226-PA0227-pcaF","PA0228",257108,258313,1,"pcaF","DOOR",18988623
"operon-48","pcaT-pcaB-pcaD-pcaC","PA0229",258463,259761,1,"pcaT","DOOR",18988623
"operon-48","pcaT-pcaB-pcaD-pcaC","PA0230",259784,261163,1,"pcaB","DOOR",18988623
"operon-48","pcaT-pcaB-pcaD-pcaC","PA0231",261179,261970,1,"pcaD","DOOR",18988623
"operon-48","pcaT-pcaB-pcaD-pcaC","PA0232",261981,262382,1,"pcaC","DOOR",18988623
"operon-49","PA0237-PA0238","PA0237",267638,268681,1,"","DOOR",18988623
"operon-49","PA0237-PA0238","PA0238",268704,269519,1,"","DOOR",18988623
"operon-50","PA0241-PA0240","PA0240",270573,271838,-1,"","DOOR",18988623
"operon-50","PA0241-PA0240","PA0241",271904,273229,-1,"","DOOR",18988623
"operon-51","aroQ2-PA0244","PA0244",276480,277334,-1,"","DOOR",18988623
"operon-51","aroQ2-PA0244","PA0245",277331,277777,-1,"aroQ2","DOOR",18988623
"operon-52","PA0254-PA0253","PA0253",284197,284673,-1,"hudR","DOOR",18988623
"operon-41813","hudAR","PA0253",284197,284673,-1,"hudR","PseudoCAP",18591226
"operon-52","PA0254-PA0253","PA0254",284714,286204,-1,"hudA","DOOR",18988623
"operon-41813","hudAR","PA0254",284714,286204,-1,"hudA","PseudoCAP",18591226
"operon-53","PA0258-PA0257","PA0257",288384,289175,-1,"","DOOR",18988623
"operon-53","PA0258-PA0257","PA0258",289205,289390,-1,"","DOOR",18988623
"operon-54","PA0262-PA0261-PA0260","PA0260",291154,293304,-1,"tle3","DOOR",18988623
"operon-54","PA0262-PA0261-PA0260","PA0261",293301,293798,-1,"tli3","DOOR",18988623
"operon-54","PA0262-PA0261-PA0260","PA0262",293802,296861,-1,"vgrG2b","DOOR",18988623
"operon-55","PA0269-PA0270-PA0271","PA0269",305725,306162,1,"","DOOR",18988623
"operon-55","PA0269-PA0270-PA0271","PA0270",306174,306581,1,"","DOOR",18988623
"operon-55","PA0269-PA0270-PA0271","PA0271",306615,306899,1,"","DOOR",18988623
"operon-56","PA0273-PA0272","PA0272",306896,307828,-1,"","DOOR",18988623
"operon-56","PA0273-PA0272","PA0273",307878,309092,-1,"","DOOR",18988623
"operon-57","cysT-cysW-cysA","PA0280",313938,314927,-1,"cysA","DOOR",18988623
"operon-57","cysT-cysW-cysA","PA0281",314931,315800,-1,"cysW","DOOR",18988623
"operon-57","cysT-cysW-cysA","PA0282",315811,316629,-1,"cysT","DOOR",18988623
"operon-58","gpuP-gpuA-gpuR","PA0287",322175,323560,1,"gpuP","DOOR",18988623
"operon-41814","gpuPA","PA0287",322175,323560,1,"gpuP","PseudoCAP",16339950
"operon-41817","gpuP","PA0287",322175,323560,1,"gpuP","PseudoCAP",16339950
"operon-58","gpuP-gpuA-gpuR","PA0288",323616,324572,1,"gpuA","DOOR",18988623
"operon-41814","gpuPA","PA0288",323616,324572,1,"gpuA","PseudoCAP",16339950
"operon-41815","gpuA","PA0288",323616,324572,1,"gpuA","PseudoCAP",16339950
"operon-41816","gpuA","PA0288",323616,324572,1,"gpuA","PseudoCAP",16339950
"operon-58","gpuP-gpuA-gpuR","PA0289",324625,325587,1,"gpuR","DOOR",18988623
"operon-41818","oprE","PA0291",327284,328666,1,"oprE","PseudoCAP",8394980
"operon-41818","oprE","PA0291",327284,328666,1,"oprE","PseudoCAP",9595661
"operon-41740","aguBA","PA0292",328801,329907,-1,"aguA","PseudoCAP",11673419
"operon-41740","aguBA","PA0293",329993,330871,-1,"aguB","PseudoCAP",11673419
"operon-41717","spuI","PA0296",333079,334455,-1,"spuI","PseudoCAP",12081945
"operon-59","spuA-spuB-spuC","PA0297",334734,335486,1,"spuA","DOOR",18988623
"operon-41716","spuABCDEFGH","PA0297",334734,335486,1,"spuA","PseudoCAP",12081945
"operon-59","spuA-spuB-spuC","PA0298",335527,336885,1,"spuB","DOOR",18988623
"operon-41716","spuABCDEFGH","PA0298",335527,336885,1,"spuB","PseudoCAP",12081945
"operon-59","spuA-spuB-spuC","PA0299",336951,338321,1,"spuC","DOOR",18988623
"operon-41716","spuABCDEFGH","PA0299",336951,338321,1,"spuC","PseudoCAP",12081945
"operon-41716","spuABCDEFGH","PA0300",338437,339540,1,"spuD","PseudoCAP",12081945
"operon-60","spuE-spuF-spuG-spuH","PA0301",339959,341056,1,"spuE","DOOR",18988623
"operon-41716","spuABCDEFGH","PA0301",339959,341056,1,"spuE","PseudoCAP",12081945
"operon-60","spuE-spuF-spuG-spuH","PA0302",341111,342265,1,"spuF","DOOR",18988623
"operon-41716","spuABCDEFGH","PA0302",341111,342265,1,"spuF","PseudoCAP",12081945
"operon-60","spuE-spuF-spuG-spuH","PA0303",342292,343173,1,"spuG","DOOR",18988623
"operon-41716","spuABCDEFGH","PA0303",342292,343173,1,"spuG","PseudoCAP",12081945
"operon-60","spuE-spuF-spuG-spuH","PA0304",343256,344125,1,"spuH","DOOR",18988623
"operon-41716","spuABCDEFGH","PA0304",343256,344125,1,"spuH","PseudoCAP",12081945
"operon-61","PA0314-PA0313","PA0313",352927,353619,-1,"","DOOR",18988623
"operon-61","PA0314-PA0313","PA0314",353691,354461,-1,"","DOOR",18988623
"operon-62","PA0317-PA0318","PA0317",356681,358075,1,"","DOOR",18988623
"operon-62","PA0317-PA0318","PA0318",358167,358832,1,"","DOOR",18988623
"operon-63","PA0319-PA0320","PA0319",358931,359920,1,"","DOOR",18988623
"operon-63","PA0319-PA0320","PA0320",359982,360332,1,"carO","DOOR",18988623
"operon-64","PA0322-PA0321","PA0321",360413,361447,-1,"","DOOR",18988623
"operon-64","PA0322-PA0321","PA0322",361463,362857,-1,"","DOOR",18988623
"operon-65","PA0326-PA0325-PA0324-PA0323","PA0323",363278,364321,-1,"","DOOR",18988623
"operon-65","PA0326-PA0325-PA0324-PA0323","PA0324",364369,365157,-1,"","DOOR",18988623
"operon-65","PA0326-PA0325-PA0324-PA0323","PA0325",365154,366083,-1,"","DOOR",18988623
"operon-65","PA0326-PA0325-PA0324-PA0323","PA0326",366080,367129,-1,"","DOOR",18988623
"operon-66","PA0332-PA0333","PA0332",373725,374192,1,"","DOOR",18988623
"operon-66","PA0332-PA0333","PA0333",374243,375514,1,"","DOOR",18988623
"operon-67","PA0335-PA0334","PA0334",375951,377189,-1,"","DOOR",18988623
"operon-67","PA0335-PA0334","PA0335",377239,377892,-1,"","DOOR",18988623
"operon-68","ygdP-ptsP-PA0338","PA0336",378096,378575,1,"rppH","DOOR",18988623
"operon-68","ygdP-ptsP-PA0338","PA0337",378598,380877,1,"ptsP","DOOR",18988623
"operon-68","ygdP-ptsP-PA0338","PA0338",380903,382033,1,"","DOOR",18988623
"operon-69","PA0340-lgt","PA0340",382914,383717,1,"","DOOR",18988623
"operon-69","PA0340-lgt","PA0341",383727,384527,1,"lgt","DOOR",18988623
"operon-70","PA0345-PA0344-PA0343","PA0343",385554,386351,-1,"","DOOR",18988623
"operon-70","PA0345-PA0344-PA0343","PA0344",386386,387765,-1,"","DOOR",18988623
"operon-70","PA0345-PA0344-PA0343","PA0345",387758,389143,-1,"","DOOR",18988623
"operon-71","PA0348-PA0349-folA","PA0348",391094,392188,1,"","DOOR",18988623
"operon-71","PA0348-PA0349-folA","PA0349",392185,393225,1,"","DOOR",18988623
"operon-71","PA0348-PA0349-folA","PA0350",393308,393814,1,"folA","DOOR",18988623
"operon-72","PA0356-mutM","PA0356",400248,401072,1,"","DOOR",18988623
"operon-72","PA0356-mutM","PA0357",401131,401943,1,"mutM","DOOR",18988623
"operon-73","PA0366-PA0365-PA0364","PA0364",407250,408845,-1,"laoA","DOOR",18988623
"operon-73","PA0366-PA0365-PA0364","PA0365",408901,409449,-1,"laoB","DOOR",18988623
"operon-73","PA0366-PA0365-PA0364","PA0366",409504,410934,-1,"laoC","DOOR",18988623
"operon-74","PA0369-PA0368","PA0368",412329,413327,-1,"","DOOR",18988623
"operon-74","PA0369-PA0368","PA0369",413364,413840,-1,"","DOOR",18988623
"operon-75","PA0372-PA0371-PA0370","PA0370",413933,414529,-1,"","DOOR",18988623
"operon-75","PA0372-PA0371-PA0370","PA0371",414529,416016,-1,"","DOOR",18988623
"operon-75","PA0372-PA0371-PA0370","PA0372",416009,417406,-1,"","DOOR",18988623
"operon-76","ftsY-ftsE-ftsX","PA0373",417527,418894,1,"ftsY","DOOR",18988623
"operon-76","ftsY-ftsE-ftsX","PA0374",418891,419562,1,"ftsE","DOOR",18988623
"operon-76","ftsY-ftsE-ftsX","PA0375",419562,420569,1,"ftsX","DOOR",18988623
"operon-77","PA0380-thiG","PA0380",423460,423660,1,"","DOOR",18988623
"operon-77","PA0380-thiG","PA0381",423719,424516,1,"thiG","DOOR",18988623
"operon-78","PA0386-PA0385-PA0384","PA0384",426863,427120,-1,"","DOOR",18988623
"operon-78","PA0386-PA0385-PA0384","PA0385",427182,427505,-1,"","DOOR",18988623
"operon-78","PA0386-PA0385-PA0384","PA0386",427586,428740,-1,"","DOOR",18988623
"operon-79","PA0388-PA0387","PA0387",428861,429454,-1,"","DOOR",18988623
"operon-79","PA0388-PA0387","PA0388",429451,429870,-1,"","DOOR",18988623
"operon-80","PA0391-metX-PA0389","PA0389",430002,430622,-1,"","DOOR",18988623
"operon-80","PA0391-metX-PA0389","PA0390",430630,431769,-1,"metX","DOOR",18988623
"operon-80","PA0391-metX-PA0389","PA0391",431858,433825,-1,"","DOOR",18988623
"operon-81","PA0394-proC-PA0392","PA0392",434226,434819,-1,"","DOOR",18988623
"operon-81","PA0394-proC-PA0392","PA0393",434830,435651,-1,"proC","DOOR",18988623
"operon-81","PA0394-proC-PA0392","PA0394",435663,436355,-1,"","DOOR",18988623
"operon-82","PA0399-PA0400","PA0399",440638,442011,1,"","DOOR",18988623
"operon-82","PA0399-PA0400","PA0400",442008,443192,1,"","DOOR",18988623
"operon-83","pyrR-pyrB-PA0401","PA0401",443419,444690,-1,"","DOOR",18988623
"operon-83","pyrR-pyrB-PA0401","PA0402",444687,445691,-1,"pyrB","DOOR",18988623
"operon-83","pyrR-pyrB-PA0401","PA0403",445715,446227,-1,"pyrR","DOOR",18988623
"operon-84","gshB-tonB3-PA0405-PA0404","PA0404",446339,446773,-1,"","DOOR",18988623
"operon-84","gshB-tonB3-PA0405-PA0404","PA0405",446773,447342,-1,"algH","DOOR",18988623
"operon-84","gshB-tonB3-PA0405-PA0404","PA0406",447391,448350,-1,"tonB3","DOOR",18988623
"operon-84","gshB-tonB3-PA0405-PA0404","PA0407",448431,449384,-1,"gshB","DOOR",18988623
"operon-85","pilG-pilH-pilI","PA0408",449639,450046,1,"pilG","DOOR",18988623
"operon-85","pilG-pilH-pilI","PA0409",450093,450458,1,"pilH","DOOR",18988623
"operon-85","pilG-pilH-pilI","PA0410",450509,451045,1,"pilI","DOOR",18988623
"operon-86","pilJ-pilK-chpA-chpB-chpC-chpD","PA0411",451130,453178,1,"pilJ","DOOR",18988623
"operon-86","pilJ-pilK-chpA-chpB-chpC-chpD","PA0412",453239,454114,1,"pilK","DOOR",18988623
