	PAO1 homolog id	Transcriptional similarity across strains	P-value	Name
PA14_32690	PA2470	0.19360778485180477	2.317812080207941e-46	gtdA
PA14_32830	PA2458	0.09445180917880054	4.39954009936678e-12
PA14_32860	PA2455	0.1660698549675536	2.1121848085018447e-34
PA14_33860	PA2382	0.14997097146090269	2.6975897497973532e-28	lldA
PA14_34190	PA2356	0.18984193696054166	1.3035075037615722e-44	msuD
PA14_34680	PA2317	0.13753059740610843	5.1390045237053375e-24
PA14_34880	PA2299	0.19271505596197744	6.0709463851040966e-46
PA14_34920	PA2297	0.19140853133185837	2.463486729452629e-45
PA14_35050	PA2283	0.1740844428450322	1.104068626156646e-37
PA14_35690	PA2235	0.17533683858556223	3.2773334823985885e-38	pslE
PA14_36110	PA2211	0.1991049112716656	5.55251322670528e-49
PA14_37190	PA2118	0.15698856168964223	7.054981525573669e-31	ada
PA14_37360	PA2099	0.19802686071050968	1.8391364495071847e-48
PA14_37790	PA2065	0.10307870367924149	4.0509569330337944e-14	pcoA
PA14_37810	PA2064	0.17598049664001944	1.7493724085914071e-38	pcoB
PA14_38180	PA2037	0.12885453255010365	2.9657545846420065e-21
PA14_38395	PA2019	0.18500599821592942	2.036187009819464e-42	mexX
PA14_38410	PA2018	0.1789534310067657	9.331773678701893e-40	mexY
PA14_38825	PA1985	0.19471766630711712	6.955054676502081e-47	pqqA
PA14_39020	PA1972	0.17451381879575562	7.287895366374175e-38
PA14_39150	PA1962	0.1712545600409516	1.6605416263414282e-36	azoR2
PA14_39520	PA1933	0.1974697433322842	3.405792538514294e-48
PA14_39580	PA1928	0.19682396636263652	6.940614314311041e-48	rimJ
PA14_39945	PA4212	0.18707660646407115	2.3817614683865146e-43	phzC2
PA14_39945	PA4212	0.18707660646407115	2.3817614683865146e-43	phzC1
PA14_40380	PA1864	0.1938215894177897	1.8391622740748047e-46
PA14_40600	PA1850	0.1995254403435039	3.4735719347326374e-49
PA14_43140	PA1653	0.15910279351090242	1.1130158674847167e-31
PA14_43340	PA1637	0.168599870027427	2.0241640169673332e-35	kdpE
PA14_43370	PA1635	0.16255882151316267	5.146725787471695e-33	kdpC
PA14_43380	PA1634	0.14766062730606488	1.7970063966371265e-27	kdpB
PA14_43400	PA1633	0.18449305539765135	3.4512626859656184e-42	kdpA
PA14_43420	PA1631	0.1308603817927347	7.079141158505259e-22
PA14_43720	PA1607	0.15088286354812763	1.2655740279119242e-28
PA14_44570	PA1537	0.19291926524918276	4.872830433173234e-46
PA14_45030	PA1499	0.15628931972086876	1.2920938297866733e-30
PA14_45050	PA1498	0.17730434019223248	4.773401137566974e-39	pykF
PA14_45120	PA1492	0.14124099811243582	2.9789871852953866e-25
PA14_45430	PA1470	0.17763453983652244	3.4470293348251674e-39
PA14_45470	PA1466	0.16318507216650271	2.9270789283050126e-33
PA14_45890	PA1436	0.1864572121049803	4.5375694934663265e-43
PA14_45910	PA1435	0.14054354452478646	5.1182570323456055e-25
PA14_45920	PA1434	0.1987441374284329	8.29637841289507e-49
PA14_46100	PA1419	0.18425076260513512	4.425774984369642e-42
PA14_46400	PA1380	0.09727480121048868	9.919193235779734e-13
PA14_46420	PA1379	0.08355205869174143	9.256679999665051e-10
PA14_46630	PA1367	0.18656923888682622	4.0389423620115365e-43
PA14_47000	PA1334	0.16861959450147065	1.9872026731749977e-35
PA14_47420	PA1298	0.16863425913583624	1.9601581188516854e-35
PA14_47970	PA1255	0.15075654611023517	1.4058557282153904e-28	lhpK
PA14_48000	PA1254	0.1617258471576702	1.0864604412005947e-32	lhpC
PA14_48150	PA1244	0.15778202025189556	3.5384733608209456e-31
PA14_48200	PA1240	0.16927290780930918	1.0779431224345525e-35
PA14_48650	PA1210	0.13490266455331107	3.6859808650228324e-23
PA14_48770	PA1201	0.18219440916431554	3.6027785691072853e-41
PA14_48840	PA1195	0.15694247126242922	7.342696663186318e-31	ddaH
PA14_48880	PA0728	0.13854018472761906	2.386029916229426e-24
PA14_48960	PA0721	0.09123699639078897	2.277151055251289e-11
PA14_48980	PA0719	0.17778492292264028	2.971412664123347e-39
PA14_49130	PA1183	0.19677206992717272	7.348477279792343e-48	dctA
PA14_49500	PA1153	0.04907652424963987	0.0003286102322493557
PA14_49610	PA1144	0.1631161789330823	3.1149085350625356e-33
PA14_51040	PA1028	0.16491677469753882	6.075547374126848e-34	amaA
PA14_51050	PA1027	0.19212526238322944	1.1439314411191762e-45	amaB
PA14_51060	PA1026	0.18291318274902268	1.7360462016580103e-41
PA14_51205	PA1015	0.1917657167673366	1.681471934300473e-45
PA14_51630	PA0978	0.1132902582083284	9.342667645704878e-17
PA14_52380	PA0918	0.18573087618700962	9.634375265300686e-43
PA14_52820	PA0885	0.17688984857706963	7.176461127187448e-39
PA14_52870	PA0882	0.14557330571013102	9.712263618942157e-27
PA14_52910	PA0878	0.1520194910866476	4.8946097998843785e-29
PA14_53090	PA0864	0.0888317038954589	7.512676042380408e-11
PA14_53270	PA0850	0.19105435221039588	3.594920939709225e-45
PA14_53630	PA0825	0.1479755689107499	1.3901318824547836e-27
PA14_53670	PA0820	0.1179057980655385	4.978540105394994e-18
PA14_53830	PA0806	0.15470051115399105	5.057166041234789e-30
PA14_54700	PA0740	0.12712012233708495	1.0052037239912175e-20	sdsA1
PA14_55117	PA0711	0.0918370915000844	1.6824819311013855e-11
PA14_55130	PA0710	0.059699638998598335	1.2404968011707322e-05	gloA2
PA14_55140	PA0709	0.12265227735148128	2.1598435847280991e-19
PA14_55150	PA0708	0.19711596360626715	5.031903473124697e-48
PA14_55570	PA0673	0.17253222317913341	4.911774823128499e-37
PA14_55600	PA0670	0.16447546386693584	9.084840432910233e-34
PA14_55610	PA0669	0.13796975431591282	3.683372341062681e-24
PA14_58500	PA4507	0.18356873209474214	8.896583479686684e-42
PA14_58510	PA4508	0.1828172960766897	1.9139765800130411e-41
PA14_58620	PA4518	0.1569482533985996	7.305973070487345e-31
PA14_58800	PA4531	0.16770382026723804	4.664453218174124e-35
PA14_58930	PA2226	0.14793307722718116	1.4391726392962023e-27	qsrO
PA14_59620	PA2222	0.07690381051383438	1.7698918180741256e-08
PA14_59960	PA0982	0.13593589174779425	1.7066030456816126e-23
PA14_60070	PA1939	0.19215801334411547	1.1044472981351655e-45
PA14_60590	PA4580	0.13920259855912595	1.4378127283568856e-24
PA14_60690	PA4586	0.10760630728035704	2.943406262192908e-15
PA14_60820	PA4597	0.15737957814866693	5.023532644167942e-31	oprJ
PA14_60830	PA4598	0.15699699590521213	7.003556043378947e-31	mexD
PA14_61980	PA4685	0.0654058755092302	1.6767130546009467e-06
PA14_62400	PA4715	0.1947395926842877	6.791107178281759e-47
PA14_63190	PA4779	0.1631612491237274	2.9907219671367596e-33
PA14_63390	PA4799	0.1945255620884385	8.5706602198171e-47
PA14_65410	PA4951	0.08963698957683616	5.055193959651805e-11	orn
PA14_65740	PA4973	0.13978819574819076	9.169500557194982e-25	thiC
PA14_65990	PA4990	0.1903717585142821	7.43213562254044e-45
PA14_67130	PA5082	0.16028371424458332	3.923698146571746e-32	dguC
PA14_67140	PA5083	0.09100765313401216	2.5550750924466916e-11	dguB
PA14_67150	PA5084	0.1424040512076974	1.2007508014588766e-25	dguA
PA14_69550	PA5266	0.14869016668160806	7.747695170563802e-28	vgrG6
PA14_69580	PA5269	0.19639932765014928	1.1069084610081883e-47
PA14_71100	PA5383	0.06590373231643248	1.3967801715378548e-06
PA14_72960	PA5530	0.16702912793545632	8.718844385231788e-35
