	enriched KEGG pathway	p-value	num shared genes	size gene set	size KEGG pathway	corrected p-value
60	KEGG-Pathway-pae00471: D-Glutamine and D-glutamate metabolism	1.0	0	202	5	1.0
61	KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis	0.6472393207544602	1	202	90	1.0
62	KEGG-Pathway-pae00630: Glyoxylate and dicarboxylate metabolism	0.8496766624972518	1	202	50	1.0
63	KEGG-Pathway-pae01040: Biosynthesis of unsaturated fatty acids	0.08422515383969831	2	202	13	1.0
64	KEGG-Pathway-pae00730: Thiamine metabolism	0.3197443785456053	1	202	10	1.0
65	KEGG-Pathway-pae00520: Amino sugar and nucleotide sugar metabolism	1.0	0	202	32	1.0
66	KEGG-Pathway-pae00523: Polyketide sugar unit biosynthesis	1.0	0	202	5	1.0
67	KEGG-Pathway-pae00130: Ubiquinone and other terpenoid-quinone biosynthesis	1.0	0	202	16	1.0
68	KEGG-Pathway-pae00400: Phenylalanine, tyrosine and tryptophan biosynthesis	1.0	0	202	30	1.0
69	KEGG-Pathway-pae00401: Novobiocin biosynthesis	1.0	0	202	5	1.0
70	KEGG-Pathway-pae00250: Alanine, aspartate and glutamate metabolism	1.0	0	202	36	1.0
71	KEGG-Pathway-pae00312: beta-Lactam resistance	0.017521916121500735	4	202	27	1.0
72	KEGG-Pathway-pae00310: Lysine degradation	0.5004492094521005	1	202	18	1.0
73	KEGG-Pathway-pae03030: DNA replication	1.0	0	202	15	1.0
74	KEGG-Pathway-pae00680: Methane metabolism	1.0	0	202	25	1.0
75	KEGG-Pathway-pae01220: Degradation of aromatic compounds	0.07987597909833802	3	202	27	1.0
76	KEGG-Pathway-pae00640: Propanoate metabolism	0.7696178339461774	1	202	39	1.0
77	KEGG-Pathway-pae00410: beta-Alanine metabolism	0.2290100123807051	2	202	25	1.0
78	KEGG-Pathway-pae00643: Styrene degradation	0.3454817142879592	1	202	12	1.0
79	KEGG-Pathway-pae00550: Peptidoglycan biosynthesis	1.0	0	202	20	1.0
80	KEGG-Pathway-pae03430: Mismatch repair	1.0	0	202	18	1.0
81	KEGG-Pathway-pae00300: Lysine biosynthesis	0.4807787884559287	1	202	17	1.0
82	KEGG-Pathway-pae01212: Fatty acid metabolism	0.25086609534160437	3	202	47	1.0
83	KEGG-Pathway-pae00061: Fatty acid biosynthesis	0.2149220604390441	2	202	23	1.0
84	KEGG-Pathway-pae00860: Porphyrin and chlorophyll metabolism	1.0	0	202	42	1.0
85	KEGG-Pathway-pae00910: Nitrogen metabolism	1.0	0	202	38	1.0
86	KEGG-Pathway-pae03420: Nucleotide excision repair	1.0	0	202	8	1.0
87	KEGG-Pathway-pae00650: Butanoate metabolism	1.0	0	202	42	1.0
88	KEGG-Pathway-pae00460: Cyanoamino acid metabolism	1.0	0	202	11	1.0
89	KEGG-Pathway-pae00790: Folate biosynthesis	1.0	0	202	23	1.0
90	KEGG-Pathway-pae00540: Lipopolysaccharide biosynthesis	1.0	0	202	20	1.0
91	KEGG-Pathway-pae00010: Glycolysis / Gluconeogenesis	0.4102969658214792	2	202	37	1.0
92	KEGG-Module-M00193: Putative spermidine/putrescine transport system	0.07303142750897958	2	202	12	1.0
93	KEGG-Module-M00190: Iron(III) transport system	1.0	0	202	5	1.0
94	KEGG-Module-M00506: CheA-CheYBV (chemotaxis) two-component regulatory system	1.0	0	202	7	1.0
95	KEGG-Module-M00210: Putative ABC transport system	1.0	0	202	6	1.0
96	KEGG-Module-M00045: Histidine degradation, histidine => N-formiminoglutamate => glutamate	1.0	0	202	6	1.0
97	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	1.0	0	202	10	1.0
98	KEGG-Module-M00048: Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	1.0	0	202	13	1.0
99	KEGG-Module-M00049: Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	0.2652099669606371	1	202	8	1.0
100	KEGG-Module-M00568: Catechol ortho-cleavage, catechol => 3-oxoadipate	0.17514811937456407	1	202	5	1.0
101	KEGG-Module-M00185: Sulfate transport system	1.0	0	202	5	1.0
102	KEGG-Module-M00616: Sulfate-sulfur assimilation	1.0	0	202	12	1.0
103	KEGG-Module-M00349: Microcin C transport system	1.0	0	202	9	1.0
104	KEGG-Module-M00188: NitT/TauT family transport system	1.0	0	202	13	1.0
105	KEGG-Module-M00307: Pyruvate oxidation, pyruvate => acetyl-CoA	1.0	0	202	11	1.0
106	KEGG-Module-M00452: CusS-CusR (copper tolerance) two-component regulatory system	1.0	0	202	8	1.0
107	KEGG-Module-M00299: Spermidine/putrescine transport system	1.0	0	202	12	1.0
108	KEGG-Module-M00222: Phosphate transport system	1.0	0	202	5	1.0
109	KEGG-Module-M00053: Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1.0	0	202	9	1.0
110	KEGG-Module-M00050: Guanine ribonucleotide biosynthesis IMP => GDP,GTP	0.20632702654044943	1	202	6	1.0
111	KEGG-Module-M00115: NAD biosynthesis, aspartate => NAD	1.0	0	202	5	1.0
112	KEGG-Module-M00334: Type VI secretion system	0.7949225264589014	1	202	45	1.0
113	KEGG-Module-M00335: Sec (secretion) system	1.0	0	202	11	1.0
114	KEGG-Module-M00332: Type III secretion system	1.0	0	202	18	1.0
115	KEGG-Module-M00331: Type II general secretion pathway	1.0	0	202	33	1.0
116	KEGG-Module-M00530: Dissimilatory nitrate reduction, nitrate => ammonia	1.0	0	202	8	1.0
117	KEGG-Module-M00023: Tryptophan biosynthesis, chorismate => tryptophan	1.0	0	202	9	1.0
118	KEGG-Module-M00021: Cysteine biosynthesis, serine => cysteine	1.0	0	202	6	1.0
119	KEGG-Module-M00024: Phenylalanine biosynthesis, chorismate => phenylalanine	1.0	0	202	5	1.0
120	KEGG-Module-M00028: Ornithine biosynthesis, glutamate => ornithine	1.0	0	202	8	1.0
121	KEGG-Module-M00223: Phosphonate transport system	0.23633300457305415	1	202	7	1.0
122	KEGG-Module-M00240: Iron complex transport system	0.3197443785456053	1	202	10	1.0
123	KEGG-Module-M00324: Dipeptide transport system	1.0	0	202	7	1.0
124	KEGG-Module-M00323: Urea transport system	1.0	0	202	5	1.0
125	KEGG-Module-M00242: Zinc transport system	1.0	0	202	6	1.0
126	KEGG-Module-M00087: beta-Oxidation	0.41702286928704113	1	202	15	1.0
127	KEGG-Module-M00082: Fatty acid biosynthesis, initiation	1.0	0	202	8	1.0
128	KEGG-Module-M00083: Fatty acid biosynthesis, elongation	0.13328207428789557	2	202	17	1.0
129	KEGG-Module-M00328: Hemophore/metalloprotease transport system	1.0	0	202	6	1.0
130	KEGG-Module-M00034: Methionine salvage pathway	1.0	0	202	12	1.0
131	KEGG-Module-M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA	1.0	0	202	18	1.0
132	KEGG-Module-M00237: Branched-chain amino acid transport system	1.0	0	202	11	1.0
133	KEGG-Module-M00236: Putative polar amino acid transport system	1.0	0	202	24	1.0
134	KEGG-Module-M00235: Arginine/ornithine transport system	1.0	0	202	5	1.0
135	KEGG-Module-M00230: Glutamate/aspartate transport system	0.17514811937456407	1	202	5	1.0
136	KEGG-Module-M00258: Putative ABC transport system	1.0	0	202	8	1.0
137	KEGG-Module-M00254: ABC-2 type transport system	1.0	0	202	11	1.0
138	KEGG-Module-M00126: Tetrahydrofolate biosynthesis, GTP => THF	1.0	0	202	12	1.0
139	KEGG-Module-M00125: Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	1.0	0	202	6	1.0
140	KEGG-Module-M00124: Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	1.0	0	202	7	1.0
141	KEGG-Module-M00122: Cobalamin biosynthesis, cobinamide => cobalamin	1.0	0	202	9	1.0
142	KEGG-Module-M00002: Glycolysis, core module involving three-carbon compounds	0.2652099669606371	1	202	8	1.0
143	KEGG-Module-M00119: Pantothenate biosynthesis, valine/L-aspartate => pantothenate	1.0	0	202	7	1.0
144	KEGG-Module-M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	1.0	0	202	6	1.0
145	KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)	1.0	0	202	23	1.0
146	KEGG-Module-M00432: Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	1.0	0	202	5	1.0
147	KEGG-Module-M00260: DNA polymerase III complex, bacteria	1.0	0	202	8	1.0
148	KEGG-Module-M00533: Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	1.0	0	202	6	1.0
149	KEGG-Module-M00019: Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	1.0	0	202	9	1.0
150	KEGG-Module-M00018: Threonine biosynthesis, aspartate => homoserine => threonine	1.0	0	202	6	1.0
151	KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	1.0	0	202	17	1.0
152	KEGG-Module-M00010: Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	1.0	0	202	6	1.0
153	KEGG-Module-M00016: Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	0.41702286928704113	1	202	14	1.0
154	KEGG-Module-M00156: Cytochrome c oxidase, cbb3-type	1.0	0	202	9	1.0
155	KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts	1.0	0	202	8	1.0
156	KEGG-Module-M00647: Multidrug resistance, efflux pump MexAB-OprM/SmeDEF/AcrAB-TolC	1.0	0	202	8	1.0
157	KEGG-Module-M00644: Multidrug resistance, efflux pump MexHI-OprD	1.0	0	202	5	1.0
158	KEGG-Module-M00144: NADH:quinone oxidoreductase, prokaryotes	1.0	0	202	14	1.0
159	KEGG-Module-M00436: Sulfonate transport system	1.0	0	202	12	1.0
160	KEGG-Module-M00300: Putrescine transport system	1.0	0	202	8	1.0
161	KEGG-Module-M00200: Putative sorbitol/mannitol transport system	1.0	0	202	5	1.0
162	KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes	0.571987495233917	1	202	22	1.0
163	KEGG-Module-M00238: D-Methionine transport system	1.0	0	202	7	1.0
164	KEGG-Module-M00208: Glycine betaine/proline transport system	1.0	0	202	10	1.0
165	KEGG-Module-M00176: Assimilatory sulfate reduction, sulfate => H2S	1.0	0	202	7	1.0
166	KEGG-Module-M00570: Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	1.0	0	202	13	1.0
167	KEGG-Module-M00572: Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	0.12047260391970273	2	202	16	1.0
168	KEGG-Module-M00178: Ribosome, bacteria	1.0	0	202	56	1.0
