Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype/variation,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,quorum_sensing_status,ReleaseDate,Sample Name,source_name,SRA Study,STRAIN,,,,
SRR13255777,RNA-Seq,202,5017602028,PRJNA685418,SAMN17084551,1534504351,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9686727,wild type,GSM4975546,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-12-22T00:00:00Z,GSM4975546,DKST-1_bacterial total RNA,SRP298021,PAO1,150 µM of Dkstatin-1 supplement,,,
SRR13255778,RNA-Seq,202,4188076706,PRJNA685418,SAMN17084550,1272614064,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9686722,wild type,GSM4975547,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-12-22T00:00:00Z,GSM4975547,DKST-1_bacterial total RNA,SRP298021,PAO1,150 µM of Dkstatin-1 supplement,,,
SRR13255779,RNA-Seq,202,4294289114,PRJNA685418,SAMN17084549,1298683629,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9686723,wild type,GSM4975548,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-12-22T00:00:00Z,GSM4975548,DKST-2_bacterial total RNA,SRP298021,PAO1,150 µM of Dkstatin-2 supplement,,,
SRR13255780,RNA-Seq,202,4527735868,PRJNA685418,SAMN17084548,1367600150,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9686724,wild type,GSM4975549,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-12-23T00:00:00Z,GSM4975549,DKST-2_bacterial total RNA,SRP298021,PAO1,150 µM of Dkstatin-2 supplement,,,
SRR12820650,RNA-Seq,300,5368718100,PRJNA667949,SAMN16400699,2292196024,UNIVERSITY OF WASHINGTON,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9288355,USA,,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-10-13T00:00:00Z,Pseudomonas aeruginosa PAO1 PM-CA evolved Population D Day 160,mixed population,SRP287307,PAO1,Casein-adenosine evolved Population D D160,,Casein-adenosine LTEE Day 160,PM-CA_EvoPop_D_D160_AiiA
SRR12820651,RNA-Seq,300,6654940800,PRJNA667949,SAMN16400699,2830117171,UNIVERSITY OF WASHINGTON,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9288354,USA,,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-10-13T00:00:00Z,Pseudomonas aeruginosa PAO1 PM-CA evolved Population D Day 160,mixed population,SRP287307,PAO1,Casein-adenosine evolved Population D D160,,Casein-adenosine LTEE Day 160,PM-CA_EvoPop_D_D160
SRR12820652,RNA-Seq,300,5136496500,PRJNA667949,SAMN16400698,2209081550,UNIVERSITY OF WASHINGTON,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9288353,USA,,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-10-13T00:00:00Z,Pseudomonas aeruginosa PAO1 PM-CA evolved Population D Day 5,mixed population,SRP287307,PAO1,Casein-adenosine evolved Population D D5,,Casein-adenosine LTEE Day 5,PM-CA_EvoPop_D_D5_AHL
SRR12820653,RNA-Seq,300,5699946600,PRJNA667949,SAMN16400698,2426838401,UNIVERSITY OF WASHINGTON,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9288352,USA,,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-10-13T00:00:00Z,Pseudomonas aeruginosa PAO1 PM-CA evolved Population D Day 5,mixed population,SRP287307,PAO1,Casein-adenosine evolved Population D D5,,Casein-adenosine LTEE Day 5,PM-CA_EvoPop_D_D5_AiiA
SRR12820654,RNA-Seq,300,5743959600,PRJNA667949,SAMN16400698,2433438399,UNIVERSITY OF WASHINGTON,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9288351,USA,,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-10-13T00:00:00Z,Pseudomonas aeruginosa PAO1 PM-CA evolved Population D Day 5,mixed population,SRP287307,PAO1,Casein-adenosine evolved Population D D5,,Casein-adenosine LTEE Day 5,PM-CA_EvoPop_D_D5
SRR12820655,RNA-Seq,302,22027853122,PRJNA667949,SAMN16392840,8599678661,UNIVERSITY OF WASHINGTON,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9288350,USA,,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-10-13T00:00:00Z,Pseudomonas aeruginosa PAO-SC4,monoisolate,SRP287307,PAO1,PAO1 lasI rhlI deletion,not applicable,not applicable,PAO1-lasIrhlI_AHL
SRR12820656,RNA-Seq,302,19850186690,PRJNA667949,SAMN16392840,7866886325,UNIVERSITY OF WASHINGTON,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9288349,USA,,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-10-13T00:00:00Z,Pseudomonas aeruginosa PAO-SC4,monoisolate,SRP287307,PAO1,PAO1 lasI rhlI deletion,not applicable,not applicable,PAO1-lasIrhlI
SRR12820664,RNA-Seq,302,20125541230,PRJNA667949,SAMN16392824,8065327866,UNIVERSITY OF WASHINGTON,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9288341,USA,,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-10-13T00:00:00Z,Pseudomonas aeruginosa PAO1-UW,monoisolate,SRP287307,PAO1,,not applicable,not applicable,PAO1_parent_AHL
SRR12820668,RNA-Seq,300,6332474100,PRJNA667949,SAMN16400701,2689291231,UNIVERSITY OF WASHINGTON,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9288337,USA,,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-10-13T00:00:00Z,Pseudomonas aeruginosa PAO1 PM-CA evolved Population E Day 160,mixed population,SRP287307,PAO1,Casein-adenosine evolved Population E D160,,Casein-adenosine LTEE Day 160,PM-CA_EvoPop_E_D160_AHL
SRR12820669,RNA-Seq,300,5582473500,PRJNA667949,SAMN16400701,2377786368,UNIVERSITY OF WASHINGTON,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9288336,USA,,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-10-13T00:00:00Z,Pseudomonas aeruginosa PAO1 PM-CA evolved Population E Day 160,mixed population,SRP287307,PAO1,Casein-adenosine evolved Population E D160,,Casein-adenosine LTEE Day 160,PM-CA_EvoPop_E_D160_AiiA
SRR12820670,RNA-Seq,300,5030308200,PRJNA667949,SAMN16400701,2151714817,UNIVERSITY OF WASHINGTON,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9288335,USA,,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-10-13T00:00:00Z,Pseudomonas aeruginosa PAO1 PM-CA evolved Population E Day 160,mixed population,SRP287307,PAO1,Casein-adenosine evolved Population E D160,,Casein-adenosine LTEE Day 160,PM-CA_EvoPop_E_D160
SRR12820671,RNA-Seq,300,6168033000,PRJNA667949,SAMN16400700,2609904213,UNIVERSITY OF WASHINGTON,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9288334,USA,,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-10-13T00:00:00Z,Pseudomonas aeruginosa PAO1 PM-CA evolved Population E Day 5,mixed population,SRP287307,PAO1,Casein-adenosine evolved Population E D5,,Casein-adenosine LTEE Day 5,PM-CA_EvoPop_E_D5_AHL
SRR12820672,RNA-Seq,300,5208114900,PRJNA667949,SAMN16400700,2204351569,UNIVERSITY OF WASHINGTON,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9288333,USA,,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-10-13T00:00:00Z,Pseudomonas aeruginosa PAO1 PM-CA evolved Population E Day 5,mixed population,SRP287307,PAO1,Casein-adenosine evolved Population E D5,,Casein-adenosine LTEE Day 5,PM-CA_EvoPop_E_D5_AiiA
SRR12820673,RNA-Seq,300,5686905600,PRJNA667949,SAMN16400700,2417454636,UNIVERSITY OF WASHINGTON,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9288332,USA,,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-10-13T00:00:00Z,Pseudomonas aeruginosa PAO1 PM-CA evolved Population E Day 5,mixed population,SRP287307,PAO1,Casein-adenosine evolved Population E D5,,Casein-adenosine LTEE Day 5,PM-CA_EvoPop_E_D5
SRR12820674,RNA-Seq,300,5989017900,PRJNA667949,SAMN16400699,2538981772,UNIVERSITY OF WASHINGTON,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9288331,USA,,Illumina HiSeq 2500,PAIRED,RANDOM,METATRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-10-13T00:00:00Z,Pseudomonas aeruginosa PAO1 PM-CA evolved Population D Day 160,mixed population,SRP287307,PAO1,Casein-adenosine evolved Population D D160,,Casein-adenosine LTEE Day 160,PM-CA_EvoPop_D_D160_AHL
SRR12820675,RNA-Seq,302,21561878900,PRJNA667949,SAMN16392824,8413983129,UNIVERSITY OF WASHINGTON,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9288330,USA,,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-10-13T00:00:00Z,Pseudomonas aeruginosa PAO1-UW,monoisolate,SRP287307,PAO1,,not applicable,not applicable,PAO1_parent_AiiA
SRR12820676,RNA-Seq,302,20183653882,PRJNA667949,SAMN16392824,7984877989,UNIVERSITY OF WASHINGTON,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9288329,USA,,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-10-13T00:00:00Z,Pseudomonas aeruginosa PAO1-UW,monoisolate,SRP287307,PAO1,,not applicable,not applicable,PAO1_parent
SRR12118063,RNA-Seq,85,2379897830,PRJNA643216,SAMN15404528,866030772,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8639794,GSM4646940,Planktonic cells,NextSeq 550,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-07-01T00:00:00Z,GSM4646940,Pseudomonas aeruginosa planktonic cells,SRP269357,,PAO1,Treated,,
SRR12118064,RNA-Seq,85,2288727680,PRJNA643216,SAMN15404527,840801931,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8639795,GSM4646941,Planktonic cells,NextSeq 550,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-07-01T00:00:00Z,GSM4646941,Pseudomonas aeruginosa planktonic cells,SRP269357,,PAO1,Treated,,
SRR12118065,RNA-Seq,85,3030840835,PRJNA643216,SAMN15404525,1096805406,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8639796,GSM4646942,Planktonic cells,NextSeq 550,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-07-01T00:00:00Z,GSM4646942,Pseudomonas aeruginosa planktonic cells,SRP269357,,PAO1,Treated,,
SRR12118066,RNA-Seq,85,3014618755,PRJNA643216,SAMN15404523,1091453936,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8639797,GSM4646943,Biofilm cells,NextSeq 550,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-07-01T00:00:00Z,GSM4646943,Pseudomonas aeruginosa biofilm cells,SRP269357,,PAO1,Treated,,
SRR12118067,RNA-Seq,78,5040186060,PRJNA643216,SAMN15404567,1831005664,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8639798,GSM4646944,Biofilm cells,NextSeq 550,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-07-01T00:00:00Z,GSM4646944,Pseudomonas aeruginosa biofilm cells,SRP269357,,PAO1,Treated,,
SRR12118068,RNA-Seq,85,2475080575,PRJNA643216,SAMN15404565,890788405,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8639799,GSM4646945,Biofilm cells,NextSeq 550,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-07-01T00:00:00Z,GSM4646945,Pseudomonas aeruginosa biofilm cells,SRP269357,,PAO1,Treated,,
SRR12118069,RNA-Seq,85,2883305995,PRJNA643216,SAMN15404564,1055256891,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8639800,GSM4646946,Biofilm cells,NextSeq 550,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,,2020-07-01T00:00:00Z,GSM4646946,Pseudomonas aeruginosa biofilm cells,SRP269357,,PAO1,Treated,,
