	enriched KEGG pathway	odds ratio	p-value	num shared genes	size gene set	size KEGG pathway	corrected p-value
44	KEGG-Pathway-pae00350: Tyrosine metabolism	0.0	1.0	0	205	27	1.0
45	KEGG-Pathway-pae04122: Sulfur relay system	3.1576354679802954	0.1498963561347513	2	205	18	1.0
46	KEGG-Pathway-pae00230: Purine metabolism	0.33130718954248367	0.9497837387133647	1	205	77	1.0
47	KEGG-Pathway-pae00030: Pentose phosphate pathway	2.1936174769757977	0.24841636246657053	2	205	25	1.0
48	KEGG-Pathway-pae00330: Arginine and proline metabolism	0.7354390031874819	0.7562040743192681	2	205	71	1.0
49	KEGG-Pathway-pae03018: RNA degradation	0.0	1.0	0	205	15	1.0
50	KEGG-Pathway-pae03010: Ribosome	0.0	1.0	0	205	68	1.0
51	KEGG-Pathway-pae00620: Pyruvate metabolism	1.325429911412194	0.4057617598664338	3	205	60	1.0
52	KEGG-Pathway-pae00627: Aminobenzoate degradation	0.0	1.0	0	205	19	1.0
53	KEGG-Pathway-pae00625: Chloroalkane and chloroalkene degradation	2.7968409586056646	0.32370241148372936	1	205	10	1.0
54	KEGG-Pathway-pae00740: Riboflavin metabolism	0.0	1.0	0	205	9	1.0
55	KEGG-Pathway-pae01053: Biosynthesis of siderophore group nonribosomal peptides	0.0	1.0	0	205	6	1.0
56	KEGG-Pathway-pae03410: Base excision repair	0.0	1.0	0	205	14	1.0
57	KEGG-Pathway-pae00430: Taurine and hypotaurine metabolism	0.0	1.0	0	205	9	1.0
58	KEGG-Pathway-pae00340: Histidine metabolism	0.0	1.0	0	205	24	1.0
59	KEGG-Pathway-pae00240: Pyrimidine metabolism	0.0	1.0	0	205	44	1.0
60	KEGG-Pathway-pae00471: D-Glutamine and D-glutamate metabolism	0.0	1.0	0	205	5	1.0
61	KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis	0.0	1.0	0	205	90	1.0
62	KEGG-Pathway-pae00630: Glyoxylate and dicarboxylate metabolism	0.5204248366013072	0.8539300218481405	1	205	50	1.0
63	KEGG-Pathway-pae01040: Biosynthesis of unsaturated fatty acids	0.0	1.0	0	205	13	1.0
64	KEGG-Pathway-pae00730: Thiamine metabolism	0.0	1.0	0	205	10	1.0
65	KEGG-Pathway-pae00520: Amino sugar and nucleotide sugar metabolism	0.0	1.0	0	205	32	1.0
66	KEGG-Pathway-pae00523: Polyketide sugar unit biosynthesis	0.0	1.0	0	205	5	1.0
67	KEGG-Pathway-pae00130: Ubiquinone and other terpenoid-quinone biosynthesis	1.796218487394958	0.4439868574863732	1	205	16	1.0
68	KEGG-Pathway-pae00400: Phenylalanine, tyrosine and tryptophan biosynthesis	0.9290123456790124	0.6661381775081906	1	205	30	1.0
69	KEGG-Pathway-pae00401: Novobiocin biosynthesis	0.0	1.0	0	205	5	1.0
70	KEGG-Pathway-pae00250: Alanine, aspartate and glutamate metabolism	0.0	1.0	0	205	36	1.0
71	KEGG-Pathway-pae00312: beta-Lactam resistance	3.1683168316831685	0.08268344154290186	3	205	27	1.0
72	KEGG-Pathway-pae00310: Lysine degradation	1.4783737024221453	0.5056729746948537	1	205	18	1.0
73	KEGG-Pathway-pae03030: DNA replication	0.0	1.0	0	205	15	1.0
74	KEGG-Pathway-pae00680: Methane metabolism	1.0914322250639386	0.6093525749243272	1	205	25	1.0
75	KEGG-Pathway-pae01220: Degradation of aromatic compounds	0.0	1.0	0	205	27	1.0
76	KEGG-Pathway-pae00640: Propanoate metabolism	1.39792008757526	0.4309963935047225	2	205	39	1.0
77	KEGG-Pathway-pae00410: beta-Alanine metabolism	1.0914322250639386	0.6093525749243272	1	205	25	1.0
78	KEGG-Pathway-pae00643: Styrene degradation	0.0	1.0	0	205	12	1.0
79	KEGG-Pathway-pae00550: Peptidoglycan biosynthesis	0.0	1.0	0	205	20	1.0
80	KEGG-Pathway-pae03430: Mismatch repair	0.0	1.0	0	205	18	1.0
81	KEGG-Pathway-pae00300: Lysine biosynthesis	1.571078431372549	0.48590760699108737	1	205	17	1.0
82	KEGG-Pathway-pae01212: Fatty acid metabolism	1.141961486789073	0.5315244316433754	2	205	47	1.0
83	KEGG-Pathway-pae00061: Fatty acid biosynthesis	0.0	1.0	0	205	23	1.0
84	KEGG-Pathway-pae00860: Porphyrin and chlorophyll metabolism	0.0	1.0	0	205	42	1.0
85	KEGG-Pathway-pae00910: Nitrogen metabolism	0.6766030736618972	0.7746839250652695	1	205	38	1.0
86	KEGG-Pathway-pae03420: Nucleotide excision repair	0.0	1.0	0	205	8	1.0
87	KEGG-Pathway-pae00650: Butanoate metabolism	1.2896299103195654	0.4700823463330255	2	205	42	1.0
88	KEGG-Pathway-pae00460: Cyanoamino acid metabolism	0.0	1.0	0	205	11	1.0
89	KEGG-Pathway-pae00790: Folate biosynthesis	2.4034717335209947	0.21971285957580255	2	205	23	1.0
90	KEGG-Pathway-pae00540: Lipopolysaccharide biosynthesis	0.0	1.0	0	205	20	1.0
91	KEGG-Pathway-pae00010: Glycolysis / Gluconeogenesis	0.6955337690631809	0.7656395163358265	1	205	37	1.0
92	KEGG-Module-M00193: Putative spermidine/putrescine transport system	8.473597359735974	0.009444856246655817	3	205	12	1.0
93	KEGG-Module-M00190: Iron(III) transport system	0.0	1.0	0	205	5	1.0
94	KEGG-Module-M00506: CheA-CheYBV (chemotaxis) two-component regulatory system	0.0	1.0	0	205	7	1.0
95	KEGG-Module-M00210: Putative ABC transport system	0.0	1.0	0	205	6	1.0
96	KEGG-Module-M00045: Histidine degradation, histidine => N-formiminoglutamate => glutamate	0.0	1.0	0	205	6	1.0
97	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	0.0	1.0	0	205	10	1.0
98	KEGG-Module-M00048: Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	0.0	1.0	0	205	13	1.0
99	KEGG-Module-M00049: Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	0.0	1.0	0	205	8	1.0
100	KEGG-Module-M00568: Catechol ortho-cleavage, catechol => 3-oxoadipate	0.0	1.0	0	205	5	1.0
101	KEGG-Module-M00185: Sulfate transport system	0.0	1.0	0	205	5	1.0
102	KEGG-Module-M00616: Sulfate-sulfur assimilation	0.0	1.0	0	205	12	1.0
103	KEGG-Module-M00349: Microcin C transport system	0.0	1.0	0	205	9	1.0
104	KEGG-Module-M00188: NitT/TauT family transport system	0.0	1.0	0	205	13	1.0
105	KEGG-Module-M00307: Pyruvate oxidation, pyruvate => acetyl-CoA	0.0	1.0	0	205	11	1.0
106	KEGG-Module-M00452: CusS-CusR (copper tolerance) two-component regulatory system	8.436781609195402	0.03514038111417871	2	205	8	1.0
107	KEGG-Module-M00299: Spermidine/putrescine transport system	0.0	1.0	0	205	12	1.0
108	KEGG-Module-M00222: Phosphate transport system	0.0	1.0	0	205	5	1.0
109	KEGG-Module-M00053: Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	0.0	1.0	0	205	9	1.0
110	KEGG-Module-M00050: Guanine ribonucleotide biosynthesis IMP => GDP,GTP	0.0	1.0	0	205	6	1.0
111	KEGG-Module-M00115: NAD biosynthesis, aspartate => NAD	0.0	1.0	0	205	5	1.0
112	KEGG-Module-M00334: Type VI secretion system	0.6254901960784314	0.7997853501731442	1	205	45	1.0
113	KEGG-Module-M00335: Sec (secretion) system	0.0	1.0	0	205	11	1.0
114	KEGG-Module-M00332: Type III secretion system	0.0	1.0	0	205	18	1.0
115	KEGG-Module-M00331: Type II general secretion pathway	0.0	1.0	0	205	33	1.0
116	KEGG-Module-M00530: Dissimilatory nitrate reduction, nitrate => ammonia	0.0	1.0	0	205	8	1.0
117	KEGG-Module-M00023: Tryptophan biosynthesis, chorismate => tryptophan	0.0	1.0	0	205	9	1.0
118	KEGG-Module-M00021: Cysteine biosynthesis, serine => cysteine	8.40032679738562	0.14474814384880355	1	205	6	1.0
119	KEGG-Module-M00024: Phenylalanine biosynthesis, chorismate => phenylalanine	0.0	1.0	0	205	5	1.0
120	KEGG-Module-M00028: Ornithine biosynthesis, glutamate => ornithine	0.0	1.0	0	205	8	1.0
121	KEGG-Module-M00223: Phosphonate transport system	10.126108374384236	0.027028630063675507	2	205	7	1.0
122	KEGG-Module-M00240: Iron complex transport system	0.0	1.0	0	205	10	1.0
123	KEGG-Module-M00324: Dipeptide transport system	0.0	1.0	0	205	7	1.0
124	KEGG-Module-M00323: Urea transport system	0.0	1.0	0	205	5	1.0
125	KEGG-Module-M00242: Zinc transport system	0.0	1.0	0	205	6	1.0
126	KEGG-Module-M00087: beta-Oxidation	1.934766214177979	0.4217680087130819	1	205	15	1.0
127	KEGG-Module-M00082: Fatty acid biosynthesis, initiation	0.0	1.0	0	205	8	1.0
128	KEGG-Module-M00083: Fatty acid biosynthesis, elongation	0.0	1.0	0	205	17	1.0
129	KEGG-Module-M00328: Hemophore/metalloprotease transport system	0.0	1.0	0	205	6	1.0
130	KEGG-Module-M00034: Methionine salvage pathway	0.0	1.0	0	205	12	1.0
131	KEGG-Module-M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA	1.571078431372549	0.48590760699108737	1	205	18	1.0
132	KEGG-Module-M00237: Branched-chain amino acid transport system	0.0	1.0	0	205	11	1.0
133	KEGG-Module-M00236: Putative polar amino acid transport system	0.0	1.0	0	205	24	1.0
134	KEGG-Module-M00235: Arginine/ornithine transport system	0.0	1.0	0	205	5	1.0
135	KEGG-Module-M00230: Glutamate/aspartate transport system	0.0	1.0	0	205	5	1.0
136	KEGG-Module-M00258: Putative ABC transport system	3.59733893557423	0.26863156821177403	1	205	8	1.0
137	KEGG-Module-M00254: ABC-2 type transport system	0.0	1.0	0	205	11	1.0
138	KEGG-Module-M00126: Tetrahydrofolate biosynthesis, GTP => THF	0.0	1.0	0	205	12	1.0
139	KEGG-Module-M00125: Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	0.0	1.0	0	205	6	1.0
140	KEGG-Module-M00124: Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	0.0	1.0	0	205	7	1.0
141	KEGG-Module-M00122: Cobalamin biosynthesis, cobinamide => cobalamin	0.0	1.0	0	205	9	1.0
142	KEGG-Module-M00002: Glycolysis, core module involving three-carbon compounds	0.0	1.0	0	205	8	1.0
143	KEGG-Module-M00119: Pantothenate biosynthesis, valine/L-aspartate => pantothenate	0.0	1.0	0	205	7	1.0
144	KEGG-Module-M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.0	1.0	0	205	6	1.0
145	KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)	0.0	1.0	0	205	23	1.0
146	KEGG-Module-M00432: Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	0.0	1.0	0	205	5	1.0
147	KEGG-Module-M00260: DNA polymerase III complex, bacteria	0.0	1.0	0	205	8	1.0
148	KEGG-Module-M00533: Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	0.0	1.0	0	205	6	1.0
149	KEGG-Module-M00019: Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	0.0	1.0	0	205	9	1.0
150	KEGG-Module-M00018: Threonine biosynthesis, aspartate => homoserine => threonine	0.0	1.0	0	205	6	1.0
151	KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	0.0	1.0	0	205	17	1.0
152	KEGG-Module-M00010: Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	0.0	1.0	0	205	6	1.0
153	KEGG-Module-M00016: Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	1.934766214177979	0.4217680087130819	1	205	14	1.0
154	KEGG-Module-M00156: Cytochrome c oxidase, cbb3-type	0.0	1.0	0	205	9	1.0
155	KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts	0.0	1.0	0	205	8	1.0
156	KEGG-Module-M00647: Multidrug resistance, efflux pump MexAB-OprM/SmeDEF/AcrAB-TolC	0.0	1.0	0	205	8	1.0
157	KEGG-Module-M00644: Multidrug resistance, efflux pump MexHI-OprD	0.0	1.0	0	205	5	1.0
158	KEGG-Module-M00144: NADH:quinone oxidoreductase, prokaryotes	0.0	1.0	0	205	14	1.0
159	KEGG-Module-M00436: Sulfonate transport system	0.0	1.0	0	205	12	1.0
160	KEGG-Module-M00300: Putrescine transport system	0.0	1.0	0	205	8	1.0
161	KEGG-Module-M00200: Putative sorbitol/mannitol transport system	6.299019607843137	0.17755013271666234	1	205	5	1.0
162	KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes	0.0	1.0	0	205	22	1.0
163	KEGG-Module-M00238: D-Methionine transport system	4.197712418300654	0.23944516982107947	1	205	7	1.0
164	KEGG-Module-M00208: Glycine betaine/proline transport system	0.0	1.0	0	205	10	1.0
165	KEGG-Module-M00176: Assimilatory sulfate reduction, sulfate => H2S	0.0	1.0	0	205	7	1.0
166	KEGG-Module-M00570: Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	2.287433155080214	0.37464521517325317	1	205	13	1.0
167	KEGG-Module-M00572: Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	0.0	1.0	0	205	16	1.0
168	KEGG-Module-M00178: Ribosome, bacteria	0.0	1.0	0	205	56	1.0
