pathway_id_name	pathway_name	num_genes	gene_ids
path:pae00190 : Oxidative phosphorylation	Oxidative phosphorylation	59	['PA1883', 'PA2637', 'PA2638', 'PA2639', 'PA2640', 'PA2641', 'PA2642', 'PA2643', 'PA2644', 'PA2645', 'PA2646', 'PA2647', 'PA2648', 'PA2649', 'PA2691', 'PA4538', 'PA1583', 'PA1584', 'PA1581', 'PA1582', 'PA4431', 'PA4430', 'PA4429', 'PA0113', 'PA1321', 'PA1320', 'PA0108', 'PA0106', 'PA0105', 'PA0107', 'PA0112', 'PA4133', 'PA1554', 'PA1557', 'PA1856', 'PA1553', 'PA1556', 'PA1552.1', 'PA1555.1', 'PA1552', 'PA1555', 'PA1319', 'PA1318', 'PA1317', 'PA3930', 'PA3929', 'PA0518', 'PA5556', 'PA5554', 'PA5555', 'PA5557', 'PA5553', 'PA5560', 'PA5558', 'PA5559', 'PA4031', 'PA5242', 'PA2428', 'PA0141']
path:pae00220 : Arginine biosynthesis	Arginine biosynthesis	31	['PA3537', 'PA5172', 'PA3525', 'PA5263', 'PA0495', 'PA4868', 'PA4867', 'PA4865', 'PA5171', 'PA1638', 'PA1337', 'PA0296', 'PA0298', 'PA2040', 'PA5119', 'PA5522', 'PA1566', 'PA3356', 'PA5508', 'PA3068', 'PA4588', 'PA5173', 'PA2828', 'PA5204', 'PA4402', 'PA4534', 'PA5323', 'PA0662', 'PA0530', 'PA5206', 'PA5390']
path:pae00230 : Purine metabolism	Purine metabolism	69	['PA4971', 'PA5176', 'PA5322', 'PA4670', 'PA3108', 'PA4855', 'PA0944', 'PA3751', 'PA3763', 'PA0945', 'PA5425', 'PA5426', 'PA1013', 'PA3516', 'PA3517', 'PA2629', 'PA4854', 'PA1543', 'PA3625', 'PA5177', 'PA1574', 'PA1469', 'PA4543', 'PA4645', 'PA3770', 'PA3807', 'PA0387', 'PA5298', 'PA1524', 'PA1523', 'PA1933', 'PA1932', 'PA1931', 'PA3769', 'PA1521', 'PA0134', 'PA2499', 'PA5336', 'PA5497', 'PA1156', 'PA1155', 'PA1920', 'PA1124', 'PA3043', 'PA5338', 'PA5241', 'PA0934', 'PA3217', 'PA5272', 'PA4938', 'PA3970', 'PA4115', 'PA0148', 'PA3686', 'PA0935', 'PA4969', 'PA0590', 'PA4442', 'PA1393', 'PA4443', 'PA1518', 'PA1516', 'PA1515', 'PA1140', 'PA1514', 'PA4868', 'PA4867', 'PA4865', 'PA5173']
path:pae00240 : Pyrimidine metabolism	Pyrimidine metabolism	34	['PA4756', 'PA4758', 'PA0402', 'PA0401', 'PA3527', 'PA5541', 'PA3050', 'PA5331', 'PA2876', 'PA3654', 'PA3807', 'PA0935', 'PA4478', 'PA0560', 'PA3637', 'PA3163', 'PA3625', 'PA1574', 'PA4646', 'PA0403', 'PA4115', 'PA0437', 'PA1920', 'PA3480', 'PA5497', 'PA1156', 'PA1155', 'PA2962', 'PA5321', 'PA0342', 'PA0440', 'PA0439', 'PA0441', 'PA0444']
path:pae00250 : Alanine, aspartate and glutamate metabolism	Alanine, aspartate and glutamate metabolism	37	['PA0761', 'PA2253', 'PA1337', 'PA2084', 'PA3459', 'PA0051', 'PA3797', 'PA2828', 'PA5429', 'PA3525', 'PA5263', 'PA4938', 'PA3516', 'PA3517', 'PA2629', 'PA0402', 'PA0266', 'PA0265', 'PA5036', 'PA5035', 'PA3068', 'PA4588', 'PA0782', 'PA0296', 'PA0298', 'PA2040', 'PA5119', 'PA5522', 'PA1566', 'PA3356', 'PA5508', 'PA4756', 'PA4758', 'PA1638', 'PA5549', 'PA3759', 'PA3108']
path:pae00260 : Glycine, serine and threonine metabolism	Glycine, serine and threonine metabolism	51	['PA0904', 'PA3117', 'PA3736', 'PA5495', 'PA1757', 'PA3735', 'PA5413', 'PA0902', 'PA2444', 'PA5415', 'PA4602', 'PA4626', 'PA3896', 'PA1052', 'PA1499', 'PA5131', 'PA0316', 'PA3167', 'PA4960', 'PA0421', 'PA2445', 'PA5213', 'PA2442', 'PA5215', 'PA2250', 'PA4829', 'PA1587', 'PA2446', 'PA5214', 'PA4796', 'PA4693', 'PA5372', 'PA3710', 'PA2124', 'PA3504', 'PA5373', 'PA5418', 'PA5416', 'PA5419', 'PA5417', 'PA0399', 'PA0400', 'PA2443', 'PA5379', 'PA0331', 'PA1326', 'PA0851', 'PA3357', 'PA0035', 'PA0036', 'PA2413']
path:pae00261 : Monobactam biosynthesis	Monobactam biosynthesis	9	['PA2412', 'PA4442', 'PA4443', 'PA0904', 'PA3117', 'PA0223', 'PA1010', 'PA4188', 'PA4759']
path:pae00270 : Cysteine and methionine metabolism	Cysteine and methionine metabolism	45	['PA3816', 'PA2105', 'PA1061', 'PA2104', 'PA2709', 'PA0400', 'PA0399', 'PA1843', 'PA1927', 'PA0546', 'PA0654', 'PA4773', 'PA1687', 'PA4774', 'PA1432', 'PA3476', 'PA1469', 'PA4543', 'PA3170', 'PA3004', 'PA3169', 'PA1683', 'PA1685', 'PA1684', 'PA3139', 'PA0870', 'PA2822', 'PA0432', 'PA3089a', 'PA0904', 'PA3117', 'PA3736', 'PA0390', 'PA5025', 'PA3107', 'PA5013', 'PA5203', 'PA0407', 'PA1292', 'PA4956', 'PA2443', 'PA5379', 'PA0932', 'PA0316', 'PA3167']
path:pae00280 : Valine, leucine and isoleucine degradation	Valine, leucine and isoleucine degradation	51	['PA5013', 'PA3418', 'PA2247', 'PA3417', 'PA2248', 'PA3416', 'PA2249', 'PA3415', 'PA2250', 'PA4829', 'PA1587', 'PA2552', 'PA2550', 'PA0879', 'PA1535', 'PA4994', 'PA4979', 'PA3593', 'PA2015', 'PA1821', 'PA1748', 'PA3426', 'PA1629', 'PA3014', 'PA1737', 'PA2940', 'PA3013', 'PA3454', 'PA3569', 'PA3312', 'PA1576', 'PA3570', 'PA0747', 'PA0130', 'PA1027', 'PA4899', 'PA0132', 'PA5313', 'PA2012', 'PA2014', 'PA2013', 'PA2011', 'PA1999', 'PA2000', 'PA1997', 'PA2001', 'PA2553', 'PA3589', 'PA3925', 'PA1736', 'PA4785']
path:pae00281 : Geraniol degradation	Geraniol degradation	17	['PA2887', 'PA2892', 'PA2893', 'PA2889', 'PA2891', 'PA2888', 'PA2890', 'PA2011', 'PA2940', 'PA3013', 'PA3454', 'PA1821', 'PA1748', 'PA3426', 'PA1629', 'PA3014', 'PA1737']
path:pae00290 : Valine, leucine and isoleucine biosynthesis	Valine, leucine and isoleucine biosynthesis	19	['PA0331', 'PA1326', 'PA0851', 'PA3121', 'PA3120', 'PA3118', 'PA2035', 'PA4180', 'PA4696', 'PA1417', 'PA3506', 'PA4695', 'PA4694', 'PA0353', 'PA5013', 'PA3418', 'PA2828', 'PA1217', 'PA3792']
path:pae00300 : Lysine biosynthesis	Lysine biosynthesis	16	['PA3736', 'PA0904', 'PA3117', 'PA0223', 'PA1010', 'PA4188', 'PA4759', 'PA3666', 'PA0530', 'PA3659', 'PA1162', 'PA5278', 'PA5277', 'PA1654', 'PA4417', 'PA4416']
path:pae00310 : Lysine degradation	Lysine degradation	23	['PA1586', 'PA2250', 'PA4829', 'PA1587', 'PA0447', 'PA1821', 'PA1748', 'PA3426', 'PA1629', 'PA3014', 'PA1737', 'PA2001', 'PA2553', 'PA3589', 'PA3925', 'PA1736', 'PA4785', 'PA2074', 'PA0266', 'PA0265', 'PA1252', 'PA1027', 'PA4899']
path:pae00330 : Arginine and proline metabolism	Arginine and proline metabolism	45	['PA0437', 'PA1818', 'PA4839', 'PA0292', 'PA0293', 'PA4519', 'PA1687', 'PA4774', 'PA0654', 'PA4773', 'PA0299', 'PA0221', 'PA3713', 'PA1027', 'PA4899', 'PA5312', 'PA4114', 'PA0421', 'PA4976', 'PA4977', 'PA1421', 'PA0704', 'PA0202', 'PA3366', 'PA4342', 'PA4163', 'PA0896', 'PA0897', 'PA0899', 'PA0895', 'PA0898', 'PA0901', 'PA2776', 'PA2317', 'PA1565', 'PA5309', 'PA4189', 'PA0219', 'PA0393', 'PA0782', 'PA4565', 'PA4007', 'PA5080', 'PA1255', 'PA1259']
path:pae00332 : Carbapenem biosynthesis	Carbapenem biosynthesis	2	['PA4565', 'PA4007']
path:pae00340 : Histidine metabolism	Histidine metabolism	24	['PA4449', 'PA4939', 'PA5067', 'PA5066', 'PA5141', 'PA5142', 'PA3152', 'PA5140', 'PA3151', 'PA5143', 'PA2531', 'PA4447', 'PA3165', 'PA4448', 'PA5093', 'PA5098', 'PA5100', 'PA5092', 'PA3175', 'PA5106', 'PA5091', 'PA1027', 'PA4899', 'PA0421']
path:pae00350 : Tyrosine metabolism	Tyrosine metabolism	28	['PA2531', 'PA4447', 'PA3165', 'PA3139', 'PA0870', 'PA0865', 'PA0242', 'PA2009', 'PA2473', 'PA2007', 'PA2008', 'PA0421', 'PA4073', 'PA3629', 'PA5427', 'PA4091', 'PA4092', 'PA4124', 'PA4123', 'PA4125', 'PA1966', 'PA4121', 'PA4122', 'PA4127', 'PA4128', 'PA0265', 'PA2470', 'PA2471']
path:pae00360 : Phenylalanine metabolism	Phenylalanine metabolism	26	['PA0872', 'PA0421', 'PA4073', 'PA4980', 'PA1021', 'PA1821', 'PA1748', 'PA3426', 'PA1629', 'PA3590', 'PA1628', 'PA2531', 'PA4447', 'PA3165', 'PA3139', 'PA0870', 'PA1377', 'PA0865', 'PA0242', 'PA5304', 'PA5084', 'PA0704', 'PA0202', 'PA3366', 'PA4342', 'PA4163']
path:pae00361 : Chlorocyclohexane and chlorobenzene degradation	Chlorocyclohexane and chlorobenzene degradation	6	['PA2507', 'PA2682', 'PA3498', 'PA2509', 'PA0810', 'PA2086']
path:pae00362 : Benzoate degradation	Benzoate degradation	36	['PA2518', 'PA2517', 'PA2516', 'PA2515', 'PA2507', 'PA2509', 'PA2508', 'PA0480', 'PA0231', 'PA3226', 'PA2940', 'PA3013', 'PA3454', 'PA0228', 'PA0154', 'PA0153', 'PA0230', 'PA0232', 'PA4486', 'PA0247', 'PA0968', 'PA1737', 'PA3014', 'PA0447', 'PA1821', 'PA1748', 'PA3426', 'PA1629', 'PA3590', 'PA1628', 'PA2001', 'PA2553', 'PA3589', 'PA3925', 'PA1736', 'PA4785']
path:pae00364 : Fluorobenzoate degradation	Fluorobenzoate degradation	7	['PA2518', 'PA2517', 'PA2516', 'PA2515', 'PA2507', 'PA2682', 'PA2509']
path:pae00380 : Tryptophan metabolism	Tryptophan metabolism	31	['PA2579', 'PA2081', 'PA2080', 'PA1586', 'PA2250', 'PA4829', 'PA1587', 'PA0447', 'PA1821', 'PA1748', 'PA3426', 'PA1629', 'PA3014', 'PA1737', 'PA2001', 'PA2553', 'PA3589', 'PA3925', 'PA1736', 'PA4785', 'PA0421', 'PA1027', 'PA4899', 'PA0704', 'PA0202', 'PA3366', 'PA4342', 'PA4163', 'PA2147', 'PA4613', 'PA4236']
path:pae00400 : Phenylalanine, tyrosine and tryptophan biosynthesis	Phenylalanine, tyrosine and tryptophan biosynthesis	30	['PA1750', 'PA1901', 'PA2843', 'PA2943', 'PA4212', 'PA5038', 'PA4846', 'PA0245', 'PA0025', 'PA0244', 'PA5039', 'PA1681', 'PA0609', 'PA1001', 'PA0649', 'PA1002', 'PA0650', 'PA3113', 'PA0651', 'PA0035', 'PA0036', 'PA5184', 'PA3166', 'PA3475', 'PA2531', 'PA4447', 'PA3165', 'PA3139', 'PA0870', 'PA0872']
path:pae00401 : Novobiocin biosynthesis	Novobiocin biosynthesis	5	['PA2531', 'PA4447', 'PA3165', 'PA3139', 'PA0870']
path:pae00405 : Phenazine biosynthesis	Phenazine biosynthesis	24	['PA1903', 'PA4214', 'PA1902', 'PA4213', 'PA1904', 'PA4215', 'PA4210', 'PA1899', 'PA4211', 'PA1900', 'PA1905', 'PA4216', 'PA4209', 'PA4217', 'PA0609', 'PA1001', 'PA0649', 'PA1002', 'PA0996', 'PA0999', 'PA1000', 'PA0997', 'PA0998', 'PA2587']
path:pae00410 : beta-Alanine metabolism	beta-Alanine metabolism	20	['PA4731', 'PA3713', 'PA1027', 'PA4899', 'PA4730', 'PA0440', 'PA0439', 'PA0441', 'PA0132', 'PA5313', 'PA1821', 'PA1748', 'PA3426', 'PA1629', 'PA3014', 'PA1737', 'PA2552', 'PA3570', 'PA0747', 'PA0130']
path:pae00430 : Taurine and hypotaurine metabolism	Taurine and hypotaurine metabolism	8	['PA0361', 'PA0164', 'PA1338', 'PA2310', 'PA3935', 'PA3068', 'PA0835', 'PA0836']
path:pae00440 : Phosphonate and phosphinate metabolism	Phosphonate and phosphinate metabolism	9	['PA1311', 'PA1310', 'PA3378', 'PA3380', 'PA3379', 'PA3375', 'PA3374', 'PA3377', 'PA3372']
path:pae00450 : Selenocompound metabolism	Selenocompound metabolism	9	['PA1843', 'PA1927', 'PA0400', 'PA2616', 'PA4442', 'PA4443', 'PA1642', 'PA4808', 'PA3482']
path:pae00460 : Cyanoamino acid metabolism	Cyanoamino acid metabolism	11	['PA1726', 'PA0361', 'PA0164', 'PA1338', 'PA2253', 'PA2444', 'PA5415', 'PA4602', 'PA2193', 'PA2194', 'PA2195']
path:pae00470 : D-Amino acid metabolism	D-Amino acid metabolism	23	['PA5302', 'PA4930', 'PA4201', 'PA4410', 'PA1638', 'PA1337', 'PA4662', 'PA4414', 'PA3357', 'PA5278', 'PA5277', 'PA3863', 'PA3862', 'PA1268', 'PA1266', 'PA1267', 'PA1254', 'PA1253', 'PA2217', 'PA4836', 'PA4835', 'PA5304', 'PA5084']
path:pae00480 : Glutathione metabolism	Glutathione metabolism	33	['PA0361', 'PA0164', 'PA1338', 'PA0492', 'PA2112', 'PA4511', 'PA2110', 'PA4509', 'PA2181', 'PA5203', 'PA0407', 'PA3831', 'PA3083', 'PA1655', 'PA3035', 'PA1466', 'PA1890', 'PA2813', 'PA4401', 'PA0473', 'PA2821', 'PA2025', 'PA2623', 'PA2624', 'PA2263', 'PA5439', 'PA3183', 'PA0838', 'PA1287', 'PA2826', 'PA4519', 'PA1687', 'PA4774']
path:pae00500 : Starch and sucrose metabolism	Starch and sucrose metabolism	16	['PA2023', 'PA1726', 'PA2165', 'PA2153', 'PA2144', 'PA2152', 'PA2163', 'PA2151', 'PA2160', 'PA2162', 'PA2164', 'PA2416', 'PA5322', 'PA3193', 'PA4732', 'PA2344']
path:pae00520 : Amino sugar and nucleotide sugar metabolism	Amino sugar and nucleotide sugar metabolism	39	['PA2300', 'PA3005', 'PA3761', 'PA3758', 'PA2344', 'PA5549', 'PA3759', 'PA4749', 'PA5552', 'PA0666', 'PA3172', 'PA0596', 'PA0597', 'PA4450', 'PA2977', 'PA3159', 'PA3158', 'PA3155', 'PA3156', 'PA3148', 'PA3554', 'PA3552', 'PA3553', 'PA3555', 'PA3193', 'PA5322', 'PA2023', 'PA2022', 'PA3559', 'PA4068', 'PA1384', 'PA4732', 'PA3551', 'PA2232', 'PA5452', 'PA5453', 'PA5454', 'PA3540', 'PA5236']
path:pae00521 : Streptomycin biosynthesis	Streptomycin biosynthesis	8	['PA3193', 'PA5322', 'PA3818', 'PA5163', 'PA5161', 'PA5164', 'PA5162', 'PA4069']
path:pae00523 : Polyketide sugar unit biosynthesis	Polyketide sugar unit biosynthesis	5	['PA5163', 'PA5161', 'PA5164', 'PA5162', 'PA4069']
path:pae00525 : Acarbose and validamycin biosynthesis	Acarbose and validamycin biosynthesis	2	['PA5163', 'PA5161']
path:pae00540 : Lipopolysaccharide biosynthesis	Lipopolysaccharide biosynthesis	28	['PA3644', 'PA4406', 'PA3646', 'PA1792', 'PA3643', 'PA2981', 'PA4457', 'PA3636', 'PA4458', 'PA2979', 'PA4988', 'PA0011', 'PA3242', 'PA4512', 'PA0936', 'PA1972', 'PA3310', 'PA3556', 'PA4661', 'PA4425', 'PA4996', 'PA0006', 'PA3337', 'PA5011', 'PA5012', 'PA5009', 'PA4517', 'PA5010']
path:pae00541 : O-Antigen nucleotide sugar biosynthesis	O-Antigen nucleotide sugar biosynthesis	25	['PA2023', 'PA4068', 'PA1384', 'PA2022', 'PA3559', 'PA5163', 'PA5161', 'PA5164', 'PA5162', 'PA4069', 'PA5236', 'PA3551', 'PA2232', 'PA5452', 'PA5453', 'PA5454', 'PA5552', 'PA3141', 'PA3146', 'PA3159', 'PA3158', 'PA3155', 'PA3156', 'PA3148', 'PA3150']
path:pae00550 : Peptidoglycan biosynthesis	Peptidoglycan biosynthesis	20	['PA4450', 'PA2977', 'PA4411', 'PA4414', 'PA4417', 'PA4201', 'PA4410', 'PA4416', 'PA3652', 'PA1959', 'PA4415', 'PA4412', 'PA0378', 'PA5045', 'PA4700', 'PA4003', 'PA4418', 'PA2272', 'PA3999', 'PA3047']
path:pae00561 : Glycerolipid metabolism	Glycerolipid metabolism	15	['PA1052', 'PA1499', 'PA1027', 'PA4899', 'PA2275', 'PA3579', 'PA3582', 'PA1487', 'PA3673', 'PA2969', 'PA0581', 'PA0005', 'PA3603', 'PA2862', 'PA4813']
path:pae00562 : Inositol phosphate metabolism	Inositol phosphate metabolism	7	['PA0844', 'PA3319', 'PA3818', 'PA3570', 'PA0747', 'PA0130', 'PA4748']
path:pae00564 : Glycerophospholipid metabolism	Glycerophospholipid metabolism	29	['PA1614', 'PA3584', 'PA3025', 'PA1489', 'PA3673', 'PA0581', 'PA0005', 'PA3603', 'PA0844', 'PA3319', 'PA0347', 'PA2352', 'PA2990', 'PA4792', 'PA4024', 'PA4025', 'PA2536', 'PA3651', 'PA3857', 'PA4693', 'PA4957', 'PA2541', 'PA2584', 'PA4050', 'PA5547', 'PA5394', 'PA2155', 'PA4339', 'PA5310']
path:pae00565 : Ether lipid metabolism	Ether lipid metabolism	3	['PA3026', 'PA0844', 'PA3319']
path:pae00590 : Arachidonic acid metabolism	Arachidonic acid metabolism	4	['PA0838', 'PA1287', 'PA2826', 'PA1169']
path:pae00592 : alpha-Linolenic acid metabolism	alpha-Linolenic acid metabolism	3	['PA2940', 'PA3013', 'PA3454']
path:pae00600 : Sphingolipid metabolism	Sphingolipid metabolism	1	['PA0845']
path:pae00620 : Pyruvate metabolism	Pyruvate metabolism	67	['PA0887', 'PA4733', 'PA2555', 'PA5015', 'PA5016', 'PA4152', 'PA2250', 'PA4829', 'PA1587', 'PA5427', 'PA3629', 'PA2275', 'PA1982', 'PA2266', 'PA0836', 'PA0835', 'PA1498', 'PA4329', 'PA3639', 'PA4847', 'PA0493', 'PA4848', 'PA0494', 'PA3112', 'PA0954', 'PA1027', 'PA4899', 'PA1984', 'PA4022', 'PA5445', 'PA1017', 'PA4978', 'PA2382', 'PA4771', 'PA5297', 'PA2108', 'PA0927', 'PA4772', 'PA3524', 'PA0710', 'PA5111', 'PA1813', 'PA0832', 'PA1135', 'PA3896', 'PA3471', 'PA5046', 'PA4872', 'PA5436', 'PA5435', 'PA3452', 'PA4640', 'PA4333', 'PA0854', 'PA4470', 'PA3687', 'PA5192', 'PA1770', 'PA0482', 'PA2001', 'PA2553', 'PA3589', 'PA3925', 'PA1736', 'PA4785', 'PA1217', 'PA3792']
path:pae00622 : Xylene degradation	Xylene degradation	6	['PA2518', 'PA2517', 'PA2516', 'PA2515', 'PA2083', 'PA2085']
path:pae00623 : Toluene degradation	Toluene degradation	3	['PA2507', 'PA2509', 'PA2682']
path:pae00625 : Chloroalkane and chloroalkene degradation	Chloroalkane and chloroalkene degradation	8	['PA5427', 'PA3629', 'PA1027', 'PA4899', 'PA5421', 'PA1982', 'PA2086', 'PA0810']
path:pae00626 : Naphthalene degradation	Naphthalene degradation	2	['PA5427', 'PA3629']
path:pae00627 : Aminobenzoate degradation	Aminobenzoate degradation	17	['PA0704', 'PA0202', 'PA3366', 'PA4342', 'PA4163', 'PA0954', 'PA4901', 'PA4019', 'PA2512', 'PA2513', 'PA2514', 'PA4904', 'PA4905', 'PA1821', 'PA1748', 'PA3426', 'PA1629']
path:pae00630 : Glyoxylate and dicarboxylate metabolism	Glyoxylate and dicarboxylate metabolism	61	['PA2634', 'PA0887', 'PA4733', 'PA2555', 'PA0482', 'PA1580', 'PA1562', 'PA1787', 'PA2001', 'PA2553', 'PA3589', 'PA3925', 'PA1736', 'PA4785', 'PA3302', 'PA5355', 'PA5354', 'PA5353', 'PA2147', 'PA4613', 'PA4236', 'PA3896', 'PA4626', 'PA0608', 'PA2974', 'PA0065', 'PA0296', 'PA0298', 'PA2040', 'PA5119', 'PA5522', 'PA1566', 'PA3356', 'PA5508', 'PA2444', 'PA5415', 'PA4602', 'PA2445', 'PA5213', 'PA2442', 'PA5215', 'PA2250', 'PA4829', 'PA1587', 'PA2446', 'PA5214', 'PA4796', 'PA1502', 'PA1501', 'PA1500', 'PA1052', 'PA1499', 'PA3181', 'PA3131', 'PA4812', 'PA4811', 'PA4810', 'PA2081', 'PA5420', 'PA4314', 'PA5091']
path:pae00633 : Nitrotoluene degradation	Nitrotoluene degradation	2	['PA2932', 'PA1334']
path:pae00640 : Propanoate metabolism	Propanoate metabolism	44	['PA0887', 'PA4733', 'PA2555', 'PA3568', 'PA1017', 'PA4978', 'PA0836', 'PA0835', 'PA2247', 'PA3417', 'PA2248', 'PA3416', 'PA2249', 'PA3415', 'PA2250', 'PA4829', 'PA1587', 'PA2552', 'PA1833', 'PA1821', 'PA1748', 'PA3426', 'PA1629', 'PA3014', 'PA1737', 'PA3639', 'PA4847', 'PA0493', 'PA4848', 'PA0494', 'PA3112', 'PA0132', 'PA5313', 'PA1588', 'PA1589', 'PA3570', 'PA0747', 'PA0130', 'PA0795', 'PA0792', 'PA0794', 'PA0793', 'PA1787', 'PA0796']
path:pae00643 : Styrene degradation	Styrene degradation	12	['PA4073', 'PA2009', 'PA2473', 'PA2007', 'PA2008', 'PA0704', 'PA0202', 'PA3366', 'PA4342', 'PA4163', 'PA0226', 'PA0227']
path:pae00650 : Butanoate metabolism	Butanoate metabolism	42	['PA2001', 'PA2553', 'PA3589', 'PA3925', 'PA1736', 'PA4785', 'PA3590', 'PA1628', 'PA3014', 'PA1737', 'PA1821', 'PA1748', 'PA3426', 'PA1629', 'PA2552', 'PA2950', 'PA3302', 'PA5056', 'PA5058', 'PA0226', 'PA0227', 'PA1583', 'PA1584', 'PA1581', 'PA1582', 'PA0266', 'PA0265', 'PA5445', 'PA2011', 'PA1999', 'PA2000', 'PA1997', 'PA2003', 'PA2035', 'PA4180', 'PA4696', 'PA1417', 'PA3506', 'PA4695', 'PA4097', 'PA4153', 'PA4148']
path:pae00660 : C5-Branched dibasic acid metabolism	C5-Branched dibasic acid metabolism	14	['PA2035', 'PA4180', 'PA4696', 'PA1417', 'PA3506', 'PA4695', 'PA0882', 'PA1588', 'PA1589', 'PA0878', 'PA0883', 'PA3121', 'PA3120', 'PA3118']
path:pae00670 : One carbon pool by folate	One carbon pool by folate	17	['PA0350', 'PA3437', 'PA1796', 'PA2444', 'PA5415', 'PA4602', 'PA0944', 'PA4854', 'PA0018', 'PA2442', 'PA5215', 'PA1843', 'PA0342', 'PA5420', 'PA4314', 'PA0430', 'PA5228']
path:pae00680 : Methane metabolism	Methane metabolism	26	['PA5421', 'PA3629', 'PA3628', 'PA4812', 'PA4811', 'PA4810', 'PA2444', 'PA5415', 'PA4602', 'PA4626', 'PA1499', 'PA3635', 'PA3687', 'PA0555', 'PA5110', 'PA0836', 'PA0835', 'PA0887', 'PA4733', 'PA2555', 'PA1770', 'PA5131', 'PA0316', 'PA3167', 'PA4960', 'PA1757']
path:pae00730 : Thiamine metabolism	Thiamine metabolism	13	['PA4973', 'PA3975', 'PA3814', 'PA2062', 'PA5118', 'PA4548', 'PA4044', 'PA0381', 'PA3976', 'PA4051', 'PA4952', 'PA3296', 'PA3686']
path:pae00740 : Riboflavin metabolism	Riboflavin metabolism	14	['PA4047', 'PA4054', 'PA4056', 'PA5281', 'PA4053', 'PA4055', 'PA4561', 'PA0190', 'PA4092', 'PA2357', 'PA3446', 'PA1274', 'PA4971', 'PA4019']
