	enriched KEGG pathway	odds ratio	p-value	num shared genes	size gene set	size KEGG pathway	corrected p-value
21	KEGG-Pathway-pae00562: Inositol phosphate metabolism	1.6881944444444446	0.4831349254454333	1	481	7	1.0
22	KEGG-Pathway-pae00564: Glycerophospholipid metabolism	0.38798076923076924	0.9219667738887518	1	481	27	1.0
23	KEGG-Pathway-pae03440: Homologous recombination	2.8302987861811393	0.04984830812025272	5	481	23	0.36627669879663954
24	KEGG-Pathway-pae00270: Cysteine and methionine metabolism	0.6967101000647902	0.7819525627801694	2	481	33	1.0
25	KEGG-Pathway-pae00051: Fructose and mannose metabolism	0.0	1.0	0	481	18	1.0
26	KEGG-Pathway-pae00052: Galactose metabolism	0.0	1.0	0	481	5	1.0
27	KEGG-Pathway-pae00190: Oxidative phosphorylation	2.5659574468085107	0.008654130307108859	11	481	55	0.12187900182511642
28	KEGG-Pathway-pae00521: Streptomycin biosynthesis	1.4467261904761906	0.5296740682493498	1	481	8	1.0
29	KEGG-Pathway-pae02030: Bacterial chemotaxis	0.22840909090909092	0.9858577020063286	1	481	45	1.0
30	KEGG-Pathway-pae00590: Arachidonic acid metabolism	0.0	1.0	0	481	6	1.0
31	KEGG-Pathway-pae00920: Sulfur metabolism	0.4376872106744123	0.9384477601281039	2	481	51	1.0
32	KEGG-Pathway-pae03070: Bacterial secretion system	2.1441344778254647	0.009924320830630669	15	481	92	0.1290161707981987
33	KEGG-Pathway-pae00450: Selenocompound metabolism	1.1247685185185186	0.6105799951338774	1	481	10	1.0
34	KEGG-Pathway-pae00280: Valine, leucine and isoleucine degradation	0.22328703703703703	0.9871402143220991	1	481	47	1.0
35	KEGG-Pathway-pae00281: Geraniol degradation	0.0	1.0	0	481	24	1.0
36	KEGG-Pathway-pae00760: Nicotinate and nicotinamide metabolism	0.5944852941176471	0.8171170406546913	1	481	19	1.0
37	KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)	2.1834586466165415	0.0794804103941995	6	481	34	0.46317894333171433
38	KEGG-Pathway-pae03060: Protein export	11.583686440677965	4.5043193958870124e-06	9	481	18	0.00015224599558098104
39	KEGG-Pathway-pae00290: Valine, leucine and isoleucine biosynthesis	1.1914527815301486	0.5200994713568697	2	481	20	1.0
40	KEGG-Pathway-pae01210: 2-Oxocarboxylic acid metabolism	1.0848774656306037	0.5369957507373169	3	481	32	1.0
41	KEGG-Pathway-pae00750: Vitamin B6 metabolism	1.265625	0.5720307005571365	1	481	9	1.0
42	KEGG-Pathway-pae00500: Starch and sucrose metabolism	0.0	1.0	0	481	18	1.0
43	KEGG-Pathway-pae00770: Pantothenate and CoA biosynthesis	1.12502899559267	0.548333786888375	2	481	21	1.0
44	KEGG-Pathway-pae00350: Tyrosine metabolism	1.2667364016736402	0.44299879292676425	3	481	27	1.0
45	KEGG-Pathway-pae04122: Sulfur relay system	1.2661795407098122	0.4907099777994265	2	481	18	1.0
46	KEGG-Pathway-pae00230: Purine metabolism	3.471139971139971	2.766026312315652e-05	19	481	77	0.0005843230584766815
47	KEGG-Pathway-pae00030: Pentose phosphate pathway	0.8795497866932922	0.6715872384072712	2	481	25	1.0
48	KEGG-Pathway-pae00330: Arginine and proline metabolism	0.9481578947368421	0.6110052596528377	6	481	71	1.0
49	KEGG-Pathway-pae03018: RNA degradation	4.073794549266247	0.03119571733975082	4	481	15	0.2774776963377836
50	KEGG-Pathway-pae03010: Ribosome	11.948434309053779	8.019412087141885e-17	29	481	68	6.7764032136348924e-15
51	KEGG-Pathway-pae00620: Pyruvate metabolism	0.5297291345518608	0.9163428237661302	3	481	60	1.0
52	KEGG-Pathway-pae00627: Aminobenzoate degradation	2.0305439330543935	0.21623742700378237	3	481	19	0.9509927837031419
53	KEGG-Pathway-pae00625: Chloroalkane and chloroalkene degradation	0.0	1.0	0	481	10	1.0
54	KEGG-Pathway-pae00740: Riboflavin metabolism	1.265625	0.5720307005571365	1	481	9	1.0
55	KEGG-Pathway-pae01053: Biosynthesis of siderophore group nonribosomal peptides	0.0	1.0	0	481	6	1.0
56	KEGG-Pathway-pae03410: Base excision repair	1.6896311760612386	0.36288621961160694	2	481	14	1.0
57	KEGG-Pathway-pae00430: Taurine and hypotaurine metabolism	0.0	1.0	0	481	9	1.0
58	KEGG-Pathway-pae00340: Histidine metabolism	1.6017397049108126	0.3169026918070115	3	481	24	1.0
59	KEGG-Pathway-pae00240: Pyrimidine metabolism	3.0186087173722993	0.004741752832753814	10	481	44	0.07285056624867223
60	KEGG-Pathway-pae00471: D-Glutamine and D-glutamate metabolism	0.0	1.0	0	481	5	1.0
61	KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis	13.025751072961373	1.0378380423112423e-09	15	481	90	5.846487638353331e-08
62	KEGG-Pathway-pae00630: Glyoxylate and dicarboxylate metabolism	0.6579043114426051	0.8300956945834922	3	481	50	1.0
63	KEGG-Pathway-pae01040: Biosynthesis of unsaturated fatty acids	0.8430555555555556	0.7066494837984277	1	481	13	1.0
64	KEGG-Pathway-pae00730: Thiamine metabolism	4.35833831440526	0.05375685129149258	3	481	10	0.37853782784426027
65	KEGG-Pathway-pae00520: Amino sugar and nucleotide sugar metabolism	0.8427279053583855	0.6926938715731236	2	481	32	1.0
66	KEGG-Pathway-pae00523: Polyketide sugar unit biosynthesis	0.0	1.0	0	481	5	1.0
67	KEGG-Pathway-pae00130: Ubiquinone and other terpenoid-quinone biosynthesis	0.7223214285714286	0.7571569837921458	1	481	16	1.0
68	KEGG-Pathway-pae00400: Phenylalanine, tyrosine and tryptophan biosynthesis	0.7775814999197045	0.7315463478592303	2	481	30	1.0
69	KEGG-Pathway-pae00401: Novobiocin biosynthesis	0.0	1.0	0	481	5	1.0
70	KEGG-Pathway-pae00250: Alanine, aspartate and glutamate metabolism	0.5936387080928405	0.8476415367444645	2	481	36	1.0
71	KEGG-Pathway-pae00312: beta-Lactam resistance	0.38798076923076924	0.9219667738887518	1	481	27	1.0
72	KEGG-Pathway-pae00310: Lysine degradation	0.5944852941176471	0.8171170406546913	1	481	18	1.0
73	KEGG-Pathway-pae03030: DNA replication	3.7026872498570613	0.039602715221038975	4	481	15	0.33464294361777935
74	KEGG-Pathway-pae00680: Methane metabolism	1.4485953377166767	0.36795765244439393	3	481	25	1.0
75	KEGG-Pathway-pae01220: Degradation of aromatic compounds	2.3137891520244462	0.08923496783675747	5	481	27	0.5026903188137337
76	KEGG-Pathway-pae00640: Propanoate metabolism	0.5604268151241011	0.8684655686836509	2	481	39	1.0
77	KEGG-Pathway-pae00410: beta-Alanine metabolism	0.0	1.0	0	481	25	1.0
78	KEGG-Pathway-pae00643: Styrene degradation	2.2542333565298076	0.25974459087334434	2	481	12	1.0
79	KEGG-Pathway-pae00550: Peptidoglycan biosynthesis	1.12502899559267	0.548333786888375	2	481	20	1.0
80	KEGG-Pathway-pae03430: Mismatch repair	3.9229153199741433	0.01839651491479908	5	481	18	0.1943131887875653
81	KEGG-Pathway-pae00300: Lysine biosynthesis	1.3508698677800974	0.46021302770618633	2	481	17	1.0
82	KEGG-Pathway-pae01212: Fatty acid metabolism	0.704242483214946	0.7960650211222122	3	481	47	1.0
83	KEGG-Pathway-pae00061: Fatty acid biosynthesis	0.9637140868873646	0.6258746368641048	2	481	23	1.0
84	KEGG-Pathway-pae00860: Porphyrin and chlorophyll metabolism	1.3715080626845333	0.32515180158536605	5	481	42	1.0
85	KEGG-Pathway-pae00910: Nitrogen metabolism	0.0	1.0	0	481	38	1.0
86	KEGG-Pathway-pae03420: Nucleotide excision repair	6.10418410041841	0.02871302799459166	3	481	8	0.26958342950477726
87	KEGG-Pathway-pae00650: Butanoate metabolism	2.0996525192355424	0.07033524826339682	7	481	42	0.4330769354976102
88	KEGG-Pathway-pae00460: Cyanoamino acid metabolism	1.0120833333333332	0.6456635355552022	1	481	11	1.0
89	KEGG-Pathway-pae00790: Folate biosynthesis	0.0	1.0	0	481	23	1.0
90	KEGG-Pathway-pae00540: Lipopolysaccharide biosynthesis	5.515254787406686	0.0012486705662361586	7	481	20	0.02110253256939108
91	KEGG-Pathway-pae00010: Glycolysis / Gluconeogenesis	0.2796296296296296	0.9697645549584225	1	481	37	1.0
92	KEGG-Module-M00193: Putative spermidine/putrescine transport system	0.9198863636363637	0.6775923177620754	1	481	12	1.0
93	KEGG-Module-M00190: Iron(III) transport system	0.0	1.0	0	481	5	1.0
94	KEGG-Module-M00506: CheA-CheYBV (chemotaxis) two-component regulatory system	1.6881944444444446	0.4831349254454333	1	481	7	1.0
95	KEGG-Module-M00210: Putative ABC transport system	2.02625	0.43200121486544824	1	481	6	1.0
96	KEGG-Module-M00045: Histidine degradation, histidine => N-formiminoglutamate => glutamate	0.0	1.0	0	481	6	1.0
97	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	0.0	1.0	0	481	10	1.0
98	KEGG-Module-M00048: Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	8.771729323308271	0.0005077179625274477	6	481	13	0.009533815074126518
99	KEGG-Module-M00049: Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	1.4467261904761906	0.5296740682493498	1	481	8	1.0
100	KEGG-Module-M00568: Catechol ortho-cleavage, catechol => 3-oxoadipate	0.0	1.0	0	481	5	1.0
101	KEGG-Module-M00185: Sulfate transport system	0.0	1.0	0	481	5	1.0
102	KEGG-Module-M00616: Sulfate-sulfur assimilation	0.0	1.0	0	481	12	1.0
103	KEGG-Module-M00349: Microcin C transport system	2.899492991351029	0.19082100977376693	2	481	9	0.8715878554531516
104	KEGG-Module-M00188: NitT/TauT family transport system	0.0	1.0	0	481	13	1.0
105	KEGG-Module-M00307: Pyruvate oxidation, pyruvate => acetyl-CoA	0.0	1.0	0	481	11	1.0
106	KEGG-Module-M00452: CusS-CusR (copper tolerance) two-component regulatory system	0.0	1.0	0	481	8	1.0
107	KEGG-Module-M00299: Spermidine/putrescine transport system	1.4467261904761906	0.5296740682493498	1	481	12	1.0
108	KEGG-Module-M00222: Phosphate transport system	0.0	1.0	0	481	5	1.0
109	KEGG-Module-M00053: Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1.265625	0.5720307005571365	1	481	9	1.0
110	KEGG-Module-M00050: Guanine ribonucleotide biosynthesis IMP => GDP,GTP	10.177824267782427	0.01175376150433717	3	481	6	0.14188469244521298
111	KEGG-Module-M00115: NAD biosynthesis, aspartate => NAD	0.0	1.0	0	481	5	1.0
112	KEGG-Module-M00334: Type VI secretion system	1.4098972922502335	0.30686268410207806	5	481	45	1.0
113	KEGG-Module-M00335: Sec (secretion) system	17.957805907172997	1.0917995811587157e-05	7	481	11	0.00029649340887464545
114	KEGG-Module-M00332: Type III secretion system	0.0	1.0	0	481	18	1.0
115	KEGG-Module-M00331: Type II general secretion pathway	2.3523886639676115	0.06222235303455528	6	481	33	0.4206231065135937
116	KEGG-Module-M00530: Dissimilatory nitrate reduction, nitrate => ammonia	0.0	1.0	0	481	8	1.0
117	KEGG-Module-M00023: Tryptophan biosynthesis, chorismate => tryptophan	0.0	1.0	0	481	9	1.0
118	KEGG-Module-M00021: Cysteine biosynthesis, serine => cysteine	0.0	1.0	0	481	6	1.0
119	KEGG-Module-M00024: Phenylalanine biosynthesis, chorismate => phenylalanine	0.0	1.0	0	481	5	1.0
120	KEGG-Module-M00028: Ornithine biosynthesis, glutamate => ornithine	3.383437717466945	0.15736092582900185	2	481	8	0.738722124030592
121	KEGG-Module-M00223: Phosphonate transport system	0.0	1.0	0	481	7	1.0
122	KEGG-Module-M00240: Iron complex transport system	2.536534446764092	0.22508704939719335	2	481	10	0.9509927837031419
123	KEGG-Module-M00324: Dipeptide transport system	0.0	1.0	0	481	7	1.0
124	KEGG-Module-M00323: Urea transport system	0.0	1.0	0	481	5	1.0
125	KEGG-Module-M00242: Zinc transport system	0.0	1.0	0	481	6	1.0
126	KEGG-Module-M00087: beta-Oxidation	0.0	1.0	0	481	15	1.0
127	KEGG-Module-M00082: Fatty acid biosynthesis, initiation	0.0	1.0	0	481	8	1.0
128	KEGG-Module-M00083: Fatty acid biosynthesis, elongation	1.3508698677800974	0.46021302770618633	2	481	17	1.0
129	KEGG-Module-M00328: Hemophore/metalloprotease transport system	0.0	1.0	0	481	6	1.0
130	KEGG-Module-M00034: Methionine salvage pathway	0.0	1.0	0	481	12	1.0
131	KEGG-Module-M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA	0.0	1.0	0	481	18	1.0
132	KEGG-Module-M00237: Branched-chain amino acid transport system	0.0	1.0	0	481	11	1.0
133	KEGG-Module-M00236: Putative polar amino acid transport system	3.3984593837535013	0.028677769262336967	5	481	24	0.26958342950477726
134	KEGG-Module-M00235: Arginine/ornithine transport system	0.0	1.0	0	481	5	1.0
135	KEGG-Module-M00230: Glutamate/aspartate transport system	0.0	1.0	0	481	5	1.0
136	KEGG-Module-M00258: Putative ABC transport system	0.0	1.0	0	481	8	1.0
137	KEGG-Module-M00254: ABC-2 type transport system	1.0120833333333332	0.6456635355552022	1	481	11	1.0
138	KEGG-Module-M00126: Tetrahydrofolate biosynthesis, GTP => THF	0.0	1.0	0	481	12	1.0
139	KEGG-Module-M00125: Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	2.02625	0.43200121486544824	1	481	6	1.0
140	KEGG-Module-M00124: Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	1.6881944444444446	0.4831349254454333	1	481	7	1.0
141	KEGG-Module-M00122: Cobalamin biosynthesis, cobinamide => cobalamin	0.0	1.0	0	481	9	1.0
142	KEGG-Module-M00002: Glycolysis, core module involving three-carbon compounds	0.0	1.0	0	481	8	1.0
143	KEGG-Module-M00119: Pantothenate biosynthesis, valine/L-aspartate => pantothenate	1.6881944444444446	0.4831349254454333	1	481	7	1.0
144	KEGG-Module-M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.0	1.0	0	481	6	1.0
145	KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)	2.8302987861811393	0.04984830812025272	5	481	23	0.36627669879663954
146	KEGG-Module-M00432: Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	0.0	1.0	0	481	5	1.0
147	KEGG-Module-M00260: DNA polymerase III complex, bacteria	3.383437717466945	0.15736092582900185	2	481	8	0.738722124030592
148	KEGG-Module-M00533: Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	0.0	1.0	0	481	6	1.0
149	KEGG-Module-M00019: Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	0.0	1.0	0	481	9	1.0
150	KEGG-Module-M00018: Threonine biosynthesis, aspartate => homoserine => threonine	2.02625	0.43200121486544824	1	481	6	1.0
151	KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	4.250700280112045	0.01431926871897428	5	481	17	0.16133042756711025
152	KEGG-Module-M00010: Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	0.0	1.0	0	481	6	1.0
153	KEGG-Module-M00016: Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	0.7780448717948718	0.7330928118172131	1	481	14	1.0
154	KEGG-Module-M00156: Cytochrome c oxidase, cbb3-type	1.265625	0.5720307005571365	1	481	9	1.0
155	KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts	30.73263157894737	1.2280792083565198e-05	6	481	8	0.00029649340887464545
156	KEGG-Module-M00647: Multidrug resistance, efflux pump MexAB-OprM/SmeDEF/AcrAB-TolC	0.0	1.0	0	481	8	1.0
157	KEGG-Module-M00644: Multidrug resistance, efflux pump MexHI-OprD	0.0	1.0	0	481	5	1.0
158	KEGG-Module-M00144: NADH:quinone oxidoreductase, prokaryotes	0.7780448717948718	0.7330928118172131	1	481	14	1.0
159	KEGG-Module-M00436: Sulfonate transport system	0.9198863636363637	0.6775923177620754	1	481	12	1.0
160	KEGG-Module-M00300: Putrescine transport system	0.0	1.0	0	481	8	1.0
161	KEGG-Module-M00200: Putative sorbitol/mannitol transport system	0.0	1.0	0	481	5	1.0
162	KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes	14.996913580246913	5.02026700848233e-09	13	481	22	2.1210628110837844e-07
163	KEGG-Module-M00238: D-Methionine transport system	4.060960334029228	0.12519895136916354	2	481	7	0.6612069619183949
164	KEGG-Module-M00208: Glycine betaine/proline transport system	2.536534446764092	0.22508704939719335	2	481	10	0.9509927837031419
165	KEGG-Module-M00176: Assimilatory sulfate reduction, sulfate => H2S	0.0	1.0	0	481	7	1.0
166	KEGG-Module-M00570: Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	0.9198863636363637	0.6775923177620754	1	481	13	1.0
167	KEGG-Module-M00572: Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	1.4476588130032806	0.4286769759527191	2	481	16	1.0
168	KEGG-Module-M00178: Ribosome, bacteria	11.948434309053779	8.019412087141885e-17	29	481	56	6.7764032136348924e-15
