	enriched KEGG pathway	odds ratio	p-value	num shared genes	size gene set	size KEGG pathway	corrected p-value
118	KEGG-Module-M00021: Cysteine biosynthesis, serine => cysteine	1.0853503184713376	0.7116357117884802	3	3928	6	0.9042589119718282
119	KEGG-Module-M00024: Phenylalanine biosynthesis, chorismate => phenylalanine	1.4475025484199797	0.5998016123865448	4	3928	5	0.8110920996863185
120	KEGG-Module-M00028: Ornithine biosynthesis, glutamate => ornithine	inf	0.08440491236831493	8	3928	8	0.3100963084835918
121	KEGG-Module-M00223: Phosphonate transport system	0.4818212708120965	0.9142205409958889	4	3928	7	0.9634933439367782
122	KEGG-Module-M00240: Iron complex transport system	0.8438323556915753	0.7383613665058415	7	3928	10	0.9108253353247241
123	KEGG-Module-M00324: Dipeptide transport system	inf	0.11499388978992275	7	3928	7	0.35988828471290635
124	KEGG-Module-M00323: Urea transport system	inf	0.21340298549293024	5	3928	5	0.43981834815006354
125	KEGG-Module-M00242: Zinc transport system	0.1804635761589404	0.9938460271384344	2	3928	6	0.9994321927388444
126	KEGG-Module-M00087: beta-Oxidation	0.9041602858601328	0.6944084636176424	10	3928	15	0.8958399263464242
127	KEGG-Module-M00082: Fatty acid biosynthesis, initiation	2.535067584799796	0.3291167317514717	7	3928	8	0.561825531979785
128	KEGG-Module-M00083: Fatty acid biosynthesis, elongation	1.6906830182251746	0.2997053278157103	14	3928	17	0.5331600042195268
129	KEGG-Module-M00328: Hemophore/metalloprotease transport system	inf	0.15665791768346005	6	3928	6	0.41989600868191695
130	KEGG-Module-M00034: Methionine salvage pathway	1.0854809900484819	0.5999201920756794	9	3928	12	0.8110920996863185
131	KEGG-Module-M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA	1.6906830182251746	0.2997053278157103	14	3928	18	0.5331600042195268
132	KEGG-Module-M00237: Branched-chain amino acid transport system	3.624298111281266	0.16646764841235762	10	3928	11	0.41989600868191695
133	KEGG-Module-M00236: Putative polar amino acid transport system	3.2662404092071613	0.06847493292755162	18	3928	24	0.3100963084835918
134	KEGG-Module-M00235: Arginine/ornithine transport system	0.5422929936305733	0.8793868608897699	3	3928	5	0.9633478932190308
135	KEGG-Module-M00230: Glutamate/aspartate transport system	1.4475025484199797	0.5998016123865448	4	3928	5	0.8110920996863185
136	KEGG-Module-M00258: Putative ABC transport system	0.21645859872611464	0.9941543285331528	3	3928	8	0.9994321927388444
137	KEGG-Module-M00254: ABC-2 type transport system	3.624298111281266	0.16646764841235762	10	3928	11	0.41989600868191695
138	KEGG-Module-M00126: Tetrahydrofolate biosynthesis, GTP => THF	inf	0.024481878130476007	12	3928	12	0.19702082876430693
139	KEGG-Module-M00125: Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	inf	0.15665791768346005	6	3928	6	0.41989600868191695
140	KEGG-Module-M00124: Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	inf	0.11499388978992275	7	3928	7	0.35988828471290635
141	KEGG-Module-M00122: Cobalamin biosynthesis, cobinamide => cobalamin	inf	0.06194855953576884	9	3928	9	0.30979867651882664
142	KEGG-Module-M00002: Glycolysis, core module involving three-carbon compounds	1.0854156042835288	0.6392181448923653	6	3928	8	0.843967706928201
143	KEGG-Module-M00119: Pantothenate biosynthesis, valine/L-aspartate => pantothenate	2.1723610402855686	0.4066420850341368	6	3928	7	0.6378356042055838
144	KEGG-Module-M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.1804635761589404	0.9938460271384344	2	3928	6	0.9994321927388444
145	KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)	inf	0.0008095029534179132	23	3928	23	0.02736119982552547
146	KEGG-Module-M00432: Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	0.0902088107970461	0.9986836843045535	1	3928	5	0.9994321927388444
147	KEGG-Module-M00260: DNA polymerase III complex, bacteria	2.535067584799796	0.3291167317514717	7	3928	8	0.561825531979785
148	KEGG-Module-M00533: Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	1.8098394086158551	0.4971283245557825	5	3928	6	0.7369709372800635
149	KEGG-Module-M00019: Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	inf	0.08440491236831493	8	3928	9	0.3100963084835918
150	KEGG-Module-M00018: Threonine biosynthesis, aspartate => homoserine => threonine	inf	0.15665791768346005	6	3928	6	0.41989600868191695
151	KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	inf	0.005203273496578682	17	3928	17	0.07994120190198158
152	KEGG-Module-M00010: Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	inf	0.15665791768346005	6	3928	6	0.41989600868191695
153	KEGG-Module-M00016: Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	2.1741573033707864	0.23800619327505718	12	3928	14	0.4677098449242402
154	KEGG-Module-M00156: Cytochrome c oxidase, cbb3-type	2.8979591836734695	0.26405573502202745	8	3928	9	0.49583799131914036
155	KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts	inf	0.08440491236831493	8	3928	8	0.3100963084835918
156	KEGG-Module-M00647: Multidrug resistance, efflux pump MexAB-OprM/SmeDEF/AcrAB-TolC	inf	0.08440491236831493	8	3928	8	0.3100963084835918
157	KEGG-Module-M00644: Multidrug resistance, efflux pump MexHI-OprD	inf	0.21340298549293024	5	3928	5	0.43981834815006354
158	KEGG-Module-M00144: NADH:quinone oxidoreductase, prokaryotes	inf	0.013179719200283308	14	3928	14	0.12588593394040873
159	KEGG-Module-M00436: Sulfonate transport system	1.810872894333844	0.343507827528588	10	3928	12	0.5747804242805086
160	KEGG-Module-M00300: Putrescine transport system	inf	0.08440491236831493	8	3928	8	0.3100963084835918
161	KEGG-Module-M00200: Putative sorbitol/mannitol transport system	0.0902088107970461	0.9986836843045535	1	3928	5	0.9994321927388444
162	KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes	7.632454568722805	0.009937691345952255	21	3928	22	0.12588593394040873
163	KEGG-Module-M00238: D-Methionine transport system	2.1723610402855686	0.4066420850341368	6	3928	7	0.6378356042055838
164	KEGG-Module-M00208: Glycine betaine/proline transport system	3.261035978565961	0.2103118793691216	9	3928	10	0.43981834815006354
165	KEGG-Module-M00176: Assimilatory sulfate reduction, sulfate => H2S	1.8098394086158551	0.4971283245557825	5	3928	7	0.7369709372800635
166	KEGG-Module-M00570: Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	1.810872894333844	0.343507827528588	10	3928	13	0.5747804242805086
167	KEGG-Module-M00572: Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	1.0855464759959141	0.5733739037564354	12	3928	16	0.8110920996863185
168	KEGG-Module-M00178: Ribosome, bacteria	19.79349509550852	8.058898595744524e-07	54	3928	56	6.809769313404123e-05
